id,time,actor,kind,x_m,y_m,fatalities,injuries,population_alive_after,description
V2E026,146.0,Blood,blood strike,-2.2088023688951393,44.52432308637402,2,0,130,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E027,153.0,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,130,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E028,156.5,Blood,blood strike,-2.2088023688951393,44.52432308637402,3,0,127,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E029,157.199941,Barrier,reactive contact,-1.5262873000506019,-163.7397366354071,1,0,126,The leading villager physically tests the opaque boundary on a locally chosen escape attempt. The boundary reacts only at that contact.
V2E030,163.5,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,126,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E031,165.947092,Bone,guard recognition,23.5,84.4,0,0,126,Bone recognizes the entrance guard who killed the son. He deliberately reveals himself and withholds the available precise kill.
V2E032,167.0,Blood,blood strike,-2.2088023688951393,44.52432308637402,8,0,118,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E033,176.047362,Blood,visible windup,-4.721385156281957,46.290173757077255,0,0,118,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E034,178.005811,Bone,guard torment,6.088262961032423,97.54894588180716,0,0,118,"Bone chooses an object beside the recognized guard, allows another retreat and makes his personal recognition increasingly apparent."
V2E035,179.547362,Blood,blood strike,-4.721385156281957,46.290173757077255,3,0,115,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E036,183.570595,Bone,guard torment,-3.505274531027556,99.90543011171845,0,0,115,"Bone chooses an object beside the recognized guard, allows another retreat and makes his personal recognition increasingly apparent."
V2E037,188.951559,Blood,visible windup,-6.7389915636881295,49.279259950032326,0,0,115,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E038,190.502469,Bone,guard torment,-4,100,0,0,115,"Bone chooses an object beside the recognized guard, allows another retreat and makes his personal recognition increasingly apparent."
V2E039,192.451559,Blood,blood strike,-6.7389915636881295,49.279259950032326,2,0,113,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E040,196.947092,Bone,guard torment,-4,100,0,0,113,"Bone chooses an object beside the recognized guard, allows another retreat and makes his personal recognition increasingly apparent."
V2E041,199.451559,Blood,visible windup,-6.7389915636881295,49.279259950032326,0,0,113,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E042,202.951559,Blood,blood strike,-6.7389915636881295,49.279259950032326,3,0,110,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E043,209.951559,Blood,visible windup,-6.7389915636881295,49.279259950032326,0,0,110,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E044,213.451559,Blood,blood strike,-6.7389915636881295,49.279259950032326,3,0,107,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E045,213.947092,Bone,son-killer guard final strike,-4,100,1,0,106,"After sustained recognition, threats and allowed retreats, Bone deliberately kills the entrance guard with one precise intended hit."
V2E046,225.656033,Blood,visible windup,-14.529762212390363,49.777893838674665,0,0,106,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E047,229.156033,Blood,blood strike,-14.529762212390363,49.777893838674665,4,0,102,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E048,240.353187,Blood,visible windup,-20.1313478831143,46.90413913152607,0,0,102,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E049,243.853187,Blood,blood strike,-20.1313478831143,46.90413913152607,4,0,98,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E050,255.037927,Blood,visible windup,-25.19419947123871,50.55695341329887,0,0,98,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E051,258.537927,Blood,blood strike,-25.19419947123871,50.55695341329887,10,0,88,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E052,273.324874,Blood,visible windup,-33.788360770047355,58.46723769615269,0,0,88,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E053,276.824874,Blood,blood strike,-33.788360770047355,58.46723769615269,2,0,86,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E054,292.824874,Blood,visible windup,-34.0,71.27839170890572,0,0,86,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E055,296.324874,Blood,blood strike,-34.0,71.27839170890572,2,0,84,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E056,308.561431,Blood,visible windup,-29.414858932664565,77.65608206369845,0,0,84,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E057,312.061431,Blood,blood strike,-29.414858932664565,77.65608206369845,7,0,77,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E058,313.923325,Witch,Witch secures Mayor,2,146,0,0,77,Witch reaches the Mayor by her own continuous walk and prevents his escape. Begins deliberate approximately one-minute psychological confrontation; exact restraint method reserved.
V2E059,339.539881,Blood,visible windup,1.0445680827186212,81.58958256244527,0,0,77,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E060,343.039881,Blood,blood strike,1.0445680827186212,81.58958256244527,15,0,62,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E061,364.576261,Blood,visible windup,22.443875472374504,77.40522253427282,0,0,62,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E062,368.076261,Blood,blood strike,22.443875472374504,77.40522253427282,3,0,59,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E063,373.923325,Witch,Mayor final death,2,146,1,0,58,"At the end of the fixed sixty-second confrontation, Witch personally kills Mayor. Exact cinematic method remains unauthored. No survivor census informed her timing."
