time,recipient_group,category,mode,source,content
93.91999999999999,P06G06,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G07,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G08,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G09,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P07G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P07G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G05,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G06,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G07,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G08,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G09,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P08G10,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P09G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P09G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P09G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G05,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G06,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G07,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G08,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P10G09,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G05,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G06,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G07,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G08,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G09,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G10,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P11G11,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G05,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G06,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G07,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P12G08,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P13G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P14G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P14G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P14G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P14G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P15G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P16G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P16G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P16G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P16G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P16G05,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P16G06,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P17G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
95.63175360702274,P06G09,Bone,direct,V2E006,"direct observation / stalking at [-43.97084452843231, 17.20380027586915]"
95.63175360702274,P07G01,Bone,direct,V2E006,"direct observation / stalking at [-43.97084452843231, 17.20380027586915]"
97.00655476328204,P11G07,Blood,reported,P08G01,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
97.00655476328204,P11G07,Bone,reported,P08G01,reported direct precision attacker witness
98.54466076292678,P14G03,barrier,direct,V2E007,direct reactive strike at boundary
98.54466076292678,P14G03,deaths,direct,V2E007,P14G03:01
100.5,P08G04,Blood,direct,V2E008,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
100.5,P08G05,Blood,direct,V2E008,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
100.5,P08G09,Blood,direct,V2E008,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
100.5,P08G10,Blood,direct,V2E008,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
100.5,P09G03,Blood,direct,V2E008,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
100.5,P10G09,Blood,direct,V2E008,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
101.15876519011924,P11G01,Blood,reported,P08G10,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
101.15876519011924,P11G08,Blood,reported,P08G10,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
103.38072774289539,P06G09,Bone,direct,V2E009,"direct deliberate object strike at [-33.199999999999996, 8.5]"
103.38072774289539,P07G02,Bone,direct,V2E009,"direct deliberate object strike at [-33.199999999999996, 8.5]"
103.925419684013,P06G03,Blood,reported,P07G02,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
103.925419684013,P06G03,Bone,reported,P07G02,"reported direct deliberate object strike at [-33.199999999999996, 8.5]"
103.925419684013,P06G07,Blood,reported,P07G02,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
103.925419684013,P06G07,Bone,reported,P07G02,"reported direct deliberate object strike at [-33.199999999999996, 8.5]"
103.925419684013,P11G06,Blood,reported,P08G01,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
103.925419684013,P11G06,Bone,reported,P08G01,reported direct precision attacker witness
104.0,P06G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G03,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G04,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G05,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G06,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G07,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G08,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P06G09,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P07G01,Blood,direct,V2E010,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
104.0,P07G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P08G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P08G06,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P08G07,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P08G08,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P08G09,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P08G10,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P09G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P09G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P09G03,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G03,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G04,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G05,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G06,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G07,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G08,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P10G09,Blood,direct,V2E010,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
104.0,P10G09,deaths,direct,V2E010,"P08G05:01,P08G05:02"
104.0,P11G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G03,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G04,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G05,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G06,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G07,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G08,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G09,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G10,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P11G11,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G03,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G04,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G05,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G06,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G07,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P12G08,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P13G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P14G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P14G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P14G03,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P14G04,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P15G01,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.0,P16G02,sound,heard,V2E010,heavy crash / screams; cause and exact victims not visible
104.07346794503758,P06G09,Blood,reported,P07G02,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
104.5445881153517,P11G11,Blood,reported,P08G09,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
109.80494150079625,P01G02,barrier,direct,V2E011,direct reactive strike at boundary
109.80494150079625,P01G02,deaths,direct,V2E011,P01G02:01
109.96225323581285,P15G01,barrier,direct,V2E012,direct reactive strike at boundary
109.96225323581285,P15G01,deaths,direct,V2E012,P15G01:01
110.85683340942796,P02G01,barrier,direct,V2E013,direct reactive strike at boundary
110.85683340942796,P02G01,deaths,direct,V2E013,P02G01:01
114.24662303387844,P11G04,Blood,reported,P07G01,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
114.24662303387844,P11G04,Bone,reported,P07G01,"reported direct observation / stalking at [-43.97084452843231, 17.20380027586915]"
114.5,P06G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G03,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G04,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G05,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G06,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G07,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G08,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P06G09,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P07G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P07G02,Blood,direct,V2E015,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
114.5,P08G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P08G06,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P08G07,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P08G08,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P08G09,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P08G10,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P09G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P09G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P09G03,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G03,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G04,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G05,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G06,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G07,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G08,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P10G09,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G03,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G04,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G05,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G06,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G07,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G08,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G09,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G10,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P11G11,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G03,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G04,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G05,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G06,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G07,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P12G08,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P13G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P14G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P14G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P14G03,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P14G04,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P15G01,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
114.5,P16G02,sound,heard,V2E015,heavy crash / screams; cause and exact victims not visible
115.0,P06G09,Bone,direct,V2E016,"direct precise attack at [-34.3, 9.2]"
115.0,P06G09,deaths,direct,V2E016,P06G09:01
116.98862725737155,P14G02,barrier,reported,P14G03,reported lethal reactive boundary; not personally witnessed
118.23074788213623,P11G02,Blood,reported,P08G10,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
118.23074788213623,P11G10,Blood,reported,P08G10,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
121.5,P12G05,Blood,direct,V2E017,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
122.55029803516238,P12G08,Blood,reported,P08G09,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
125.0,P06G01,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G02,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G03,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G04,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G05,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G06,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G07,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
125.0,P06G08,sound,heard,V2E018,heavy crash / screams; cause and exact victims not visible
