id,cohort,micro,role,group,x_m,y_m,place,injured,intention,why_survived
P03G01:02,P03,,farmhouse family,P03G01,10.71373756750713,-45.215209923211226,Farmstead_West,False,farmhouse household draws together at home; distant emergency has no identified local attacker,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P03G01:03,P03,,farmhouse family,P03G01,11.36373756750713,-45.215209923211226,Farmstead_West,False,farmhouse household draws together at home; distant emergency has no identified local attacker,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P03G02:01,P03,,barn yard household,P03G02,10.063737567507129,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P03G02:02,P03,,barn yard household,P03G02,10.71373756750713,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P03G02:03,P03,,barn yard household,P03G02,11.36373756750713,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P03G02:04,P03,,barn yard household,P03G02,10.063737567507129,-44.56520992321123,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P04G01:01,P04,,farmhouse family,P04G01,-20.654663250524003,-43.289977263076324,Farmstead_South,False,farmhouse household draws together at home; distant emergency has no identified local attacker,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P04G01:02,P04,,farmhouse family,P04G01,-20.004663250524004,-43.289977263076324,Farmstead_South,False,farmhouse household draws together at home; distant emergency has no identified local attacker,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P04G01:03,P04,,farmhouse family,P04G01,-19.354663250524005,-43.289977263076324,Farmstead_South,False,farmhouse household draws together at home; distant emergency has no identified local attacker,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P04G02:01,P04,M03,barn storage pair,P04G02,-20.654663250524003,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P04G02:02,P04,M03,barn storage pair,P04G02,-20.004663250524004,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P04G03:01,P04,,farmyard resident,P04G03,-20.004663250524004,-42.889977263076325,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P05G03:02,P05,,recoiled agricultural witnesses,P05G03,-20.004663250524004,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P05G03:03,P05,,recoiled agricultural witnesses,P05G03,-19.354663250524005,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P05G03:04,P05,,recoiled agricultural witnesses,P05G03,-20.654663250524003,-42.639977263076325,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P06G02:01,P06,,household CollapsedCellarCottage,P06G02,14.803649110207552,12.778053791298523,CollapsedCellarCottage,False,household stays together inside and listens; exact threat unknown,Quiet lower household drew its yard resident inside. It was not intersected by an executed attack; stronger/nearer perceived signals repeatedly took Blood elsewhere.
P06G02:02,P06,,household CollapsedCellarCottage,P06G02,15.453649110207552,12.778053791298523,CollapsedCellarCottage,False,household stays together inside and listens; exact threat unknown,Quiet lower household drew its yard resident inside. It was not intersected by an executed attack; stronger/nearer perceived signals repeatedly took Blood elsewhere.
P06G03:01,P06,,household Cottage_04,P06G03,-28.068755248485925,4.868819614788562,Cottage_04,False,household stays together inside and listens; exact threat unknown,Household stayed in its lower cottage. The surviving M05 child reached it when Bone changed attention. Blood selected other sensed concentrations; Bone did not systematically search this home.
P06G03:02,P06,,household Cottage_04,P06G03,-27.418755248485926,4.868819614788562,Cottage_04,False,household stays together inside and listens; exact threat unknown,Household stayed in its lower cottage. The surviving M05 child reached it when Bone changed attention. Blood selected other sensed concentrations; Bone did not systematically search this home.
P06G03:03,P06,,household Cottage_04,P06G03,-26.768755248485927,4.868819614788562,Cottage_04,False,household stays together inside and listens; exact threat unknown,Household stayed in its lower cottage. The surviving M05 child reached it when Bone changed attention. Blood selected other sensed concentrations; Bone did not systematically search this home.
P06G06:01,P06,,yard CollapsedCellarCottage,P06G06,15.453649110207552,13.178053791298524,CollapsedCellarCottage,False,inside chosen refuge / household; tries to close entrance and quiet companions,Quiet lower household drew its yard resident inside. It was not intersected by an executed attack; stronger/nearer perceived signals repeatedly took Blood elsewhere.
P06G07:01,P06,,yard Cottage_04,P06G07,-27.418755248485926,5.268819614788562,Cottage_04,False,inside chosen refuge / household; tries to close entrance and quiet companions,Household stayed in its lower cottage. The surviving M05 child reached it when Bone changed attention. Blood selected other sensed concentrations; Bone did not systematically search this home.
P06G09:02,P06,M05,child,P06G09,-27.418755248485926,4.868819614788562,Cottage_04,False,surviving child uses Bone looking away to reach the household,Household stayed in its lower cottage. The surviving M05 child reached it when Bone changed attention. Blood selected other sensed concentrations; Bone did not systematically search this home.
P10G01:01,P10,,household CrookedCottage,P10G01,36.97248458949683,32.64321460135457,CrookedCottage,False,household stays together inside and listens; exact threat unknown,Shared-yard neighbours joined this household. It remained behind local timber cover outside the executed pressure corridors. Blood perceived competing concentrations and never performed a whole-quarter sweep.
P10G01:02,P10,,household CrookedCottage,P10G01,37.62248458949683,32.64321460135457,CrookedCottage,False,household stays together inside and listens; exact threat unknown,Shared-yard neighbours joined this household. It remained behind local timber cover outside the executed pressure corridors. Blood perceived competing concentrations and never performed a whole-quarter sweep.
P10G01:03,P10,,household CrookedCottage,P10G01,38.27248458949683,32.64321460135457,CrookedCottage,False,household stays together inside and listens; exact threat unknown,Shared-yard neighbours joined this household. It remained behind local timber cover outside the executed pressure corridors. Blood perceived competing concentrations and never performed a whole-quarter sweep.
P10G04:01,P10,,household Cottage_07,P10G04,37.15250029662195,46.33107441796052,Cottage_07,False,household stays together inside and listens; exact threat unknown,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G04:02,P10,,household Cottage_07,P10G04,37.80250029662195,46.33107441796052,Cottage_07,False,household stays together inside and listens; exact threat unknown,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G04:03,P10,,household Cottage_07,P10G04,38.45250029662195,46.33107441796052,Cottage_07,False,household stays together inside and listens; exact threat unknown,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G06:01,P10,M08,shared-yard neighbours,P10G06,36.97248458949683,32.64321460135457,CrookedCottage,False,inside chosen refuge / household; tries to close entrance and quiet companions,Shared-yard neighbours joined this household. It remained behind local timber cover outside the executed pressure corridors. Blood perceived competing concentrations and never performed a whole-quarter sweep.
P10G06:02,P10,M08,shared-yard neighbours,P10G06,37.62248458949683,32.64321460135457,CrookedCottage,False,inside chosen refuge / household; tries to close entrance and quiet companions,Shared-yard neighbours joined this household. It remained behind local timber cover outside the executed pressure corridors. Blood perceived competing concentrations and never performed a whole-quarter sweep.
P10G07:01,P10,M09,caregiver,P10G07,37.15250029662195,46.33107441796052,Cottage_07,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G07:02,P10,M09,child,P10G07,37.80250029662195,46.33107441796052,Cottage_07,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G07:03,P10,M09,child,P10G07,38.45250029662195,46.33107441796052,Cottage_07,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G07:04,P10,M09,child,P10G07,37.15250029662195,46.98107441796052,Cottage_07,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P10G07:05,P10,M09,child,P10G07,37.80250029662195,46.98107441796052,Cottage_07,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Children/caregiver joined the existing household. Their grouped presence was not guaranteed safety, but no selected attack corridor intersected their final room in this branch; Blood followed other signals."
P14G01:01,P14,,household SplitRoofCottage,P14G01,54.54936134675863,52.50877321473297,SplitRoofCottage,False,household stays together inside and listens; exact threat unknown,Household and animal-yard resident remained in the eastern cottage. The final nearby wave struck the other edge refuge; this footprint lay outside it.
P14G01:02,P14,,household SplitRoofCottage,P14G01,55.19936134675863,52.50877321473297,SplitRoofCottage,False,household stays together inside and listens; exact threat unknown,Household and animal-yard resident remained in the eastern cottage. The final nearby wave struck the other edge refuge; this footprint lay outside it.
P14G04:01,P14,,animal-yard resident,P14G04,55.19936134675863,52.90877321473297,SplitRoofCottage,False,inside chosen refuge / household; tries to close entrance and quiet companions,Household and animal-yard resident remained in the eastern cottage. The final nearby wave struck the other edge refuge; this footprint lay outside it.
P16G03:01,P16,,service guard,P16G03,1.70175531794579,145.99999999999994,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P16G04:01,P16,,house duty guard,P16G04,1.0,137.5,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P16G05:01,P16,,resident house staff,P16G05,6.35,144.6,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P16G05:02,P16,,resident house staff,P16G05,7.0,144.6,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P16G05:03,P16,,resident house staff,P16G05,7.65,144.6,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P16G06:01,P16,,stable worker,P16G06,1.70175531794579,145.99999999999994,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P17G01:01,P17,M12,provisions cart pair,P17G01,1.0517553179457901,145.59999999999994,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
P17G01:02,P17,M12,provisions cart pair,P17G01,1.70175531794579,145.59999999999994,MayorHall,False,recoils from the personal confrontation; no escape outcome assigned,"Staff, two guards and delivery people remained on the estate. They recoiled from Witch securing the Mayor; she did not hunt them, and neither monster reached their occupied room before the terminal death."
