person,origin,group,role,x_m,y_m,injured,inside,final_intent,direct_barrier_level,received_barrier_warning
R59:01,P11,R59,ordinary villager,-48.8175,77.1379,False,EndRowCottage,remain under cover,B1,False
R59:02,P11,R59,ordinary villager,-48.8175,77.1379,False,EndRowCottage,remain under cover,B1,False
R60:01,P12,R60,ordinary villager,23.0,103.0,False,Church,remain under cover,B0,False
R60:02,P12,R60,ordinary villager,23.0,103.0,False,Church,remain under cover,B0,False
R61:01,P12,R61,ordinary villager,-10.564044664642587,91.48448793274292,False,UpperCottage,remain under cover,B0,False
R61:02,P12,R61,ordinary villager,-10.564044664642587,91.48448793274292,False,UpperCottage,remain under cover,B0,False
R62:01,P12,R62,ordinary villager,-42.56494839082513,95.80799058682935,False,SealedCellarCottage,barricade quietly,B0,False
R62:02,P12,R62,ordinary villager,-42.56494839082513,95.80799058682935,False,SealedCellarCottage,barricade quietly,B0,False
R63:01,P12,R63,ordinary villager,1.805349113823439,88.76703122568291,False,Cottage_03,remain behind walls,B0,False
R63:02,P12,R63,ordinary villager,1.805349113823439,88.76703122568291,False,Cottage_03,remain behind walls,B0,False
R64:01,P12,R64,ordinary villager,21.0,99.0,False,Church,remain under cover,B0,False
R64:02,P12,R64,ordinary villager,21.0,99.0,False,Church,remain under cover,B0,False
R65:01,P12,R65L,ordinary villager,-24.08592256367933,160.1733934679885,False,,attempt crossing,B1,False
R65:02,P12,R65,ordinary villager,-24.664469484284584,158.05082816612892,False,,follow escape attempt,B1,False
R65:03,P12,R65,ordinary villager,-24.664469484284584,158.05082816612892,False,,follow escape attempt,B1,False
R66:01,P12,R66,ordinary villager,-10.564,91.4845,False,UpperCottage,remain under cover,B1,False
R68:01,P14,R68,ordinary villager,55.19936134675863,52.90877321473297,False,SplitRoofCottage,remain under cover,B0,False
R68:02,P14,R68,ordinary villager,55.19936134675863,52.90877321473297,False,SplitRoofCottage,remain under cover,B0,False
R69:01,P14,R69,ordinary villager,26.0,98.0,False,Church,remain under cover,B0,False
R69:02,P14,R69,ordinary villager,26.0,98.0,False,Church,remain under cover,B0,False
R70:02,P14,R70,ordinary villager,55.1994,52.9088,False,SplitRoofCottage,remain under cover,B4,False
R71:01,P14,R71,ordinary villager,55.1994,52.9088,False,SplitRoofCottage,remain under cover,B1,False
R72:01,P15,R72,ordinary villager,-45.3497,62.5928,False,RearCottage,remain under cover,B4,False
R72:02,P15,R72,ordinary villager,-45.3497,62.5928,False,RearCottage,remain under cover,B4,False
R72:03,P15,R72,ordinary villager,-45.3497,62.5928,False,RearCottage,remain under cover,B4,False
R77:01,P16,R77,ordinary villager,11.0,149.0,False,MayorHall,freeze inside house,B0,False
R77:02,P16,R77,ordinary villager,11.0,149.0,False,MayorHall,freeze inside house,B0,False
R77:03,P16,R77,ordinary villager,11.0,149.0,False,MayorHall,freeze inside house,B0,False
R78:01,P16,R78,ordinary villager,-12.0,135.2,False,,hide silently,B1,False
