id,origin_cohort,count,label,micro_membership,injured_count,start_xy_m,start_source,end_xy_m,knowledge_at_90,barrier_knowledge_at_90,barrier_knowledge_at_105,barrier_evidence,emotion,intent,destination_intent,movement_start_s,movement_stop_s,distance_m,mean_plan_speed_m_s,companions,people_left_behind,help_target,concentration_id,potential_bone_stimulus,heads_toward_boundary,approaches_witch,seeks_mayor,final_outcome
R11,P04,2,Barn storage pair M03,"{""M03"": 2}",0,"[-24.7, -59.8]",T0 M03 unchanged by T1 / Step2B,"[-24.7, -59.8]",Lower warning/crash heard; no clear view of the forge or centre.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Frightened; seeking familiar protection,SEEK SHELTER,Turn attention to immediate barn cover; remain at storage apron.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R12,P04,1,Western yard worker,{},0,"[-27, -48]",REFINEMENT western farmyard outside farmhouse; remaining yard worker,"[-27, -51]",Recognizes the two known workers at the adjacent west storage access; sees no attacker.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,FOLLOW OTHERS,Begin toward the nearby storage workers rather than choose an unknown exit.,95,105,3.0,0.3,Begins joining R05 only; M03 remains farther south.,Other original-cohort subgroups remain in their separately recorded positions.,,G04,,False,False,False,
R13,P05,4,Surviving handcart-stream witnesses,{},0,"[-1.5262873000506019, -19.2598640571334]",T1 R01 recoil end +12; M01 excluded as two prior fatalities,"[-4.0673629878152795, -36.055647171891955]",Personally witnessed the first attacks; does not know Bone current location.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,ESCAPE,"Begin downhill on the known approach road, away from the first violence.",93,105,17.0,1.417,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,Four people begin running on the lower approach; remote/occluded from Bone.,True,False,False,
R14,P06,2,M05 parent and child,"{""M05"": 2}",0,"[-34.3, 9.2]",Step2B O_M05 end +32; exact +90 attention target,"[-34.3, 9.2]",Directly knows Bone is watching from the west and cover is compromised. Does not know a safe escape or his full capabilities.,B0,B0,Fixated on the nearby tormentor and darkness; a deliberate scan identifying the whole enclosure is not established.,Immediate terror; protective immobility,FREEZE / DELAY,Parent covers the child and stays low at the coop corner; no dash through the narrow frontage.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,"S01: close protective gesture / concealed pair, still Bone current attention.",False,False,False,
R15,P06,3,Warned lower family household,{},0,"[-27.418755248485926, 5.268819614788562]",REFINEMENT three occupants already warned by M05 in own household at +13,"[-27.418755248485926, 5.268819614788562]",Heard M05 warning; does not see their west coop position or know Bone current position.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Alarmed; urgent but locally informed,SEEK FAMILY,"Call for the parent and child from inside; begin checking the near window, without exiting.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,"S02: family calls from Cottage_04, close but wall-masked.",False,False,False,
R16,P06,3,Lower eastern interior household,{},0,"[15.453649110207552, 13.178053791298524]",REFINEMENT three of five other lower indoor occupants,"[15.453649110207552, 13.178053791298524]","Only partial lower warnings, public crash and fading windows.",B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Remain inside together and prepare to close the door; crossing not staged.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R17,P06,2,Lower roadside interior pair,{},0,"[-9.624845430574828, 26.772424530943187]",REFINEMENT remaining two of five other lower indoor occupants,"[-9.624845430574828, 26.772424530943187]",Cries are nearby but windows/roof do not provide current monster tracking.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside; listen before going into the street.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R18,P06,2,NeedleHouse yard pair,{},0,"[-2, 13.5]",REFINEMENT two of four domestic yard occupants at NeedleHouse frontage,"[-2, 13.5]",Heard the original lower warning and later crash; attacker location unknown.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Call home from the frontage and keep together; no completed entry.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R19,P06,2,Lower eastern yard pair,{},0,"[23, 10]",REFINEMENT remaining two domestic yard occupants east of CollapsedCellarCottage,"[23, 6]",Lower danger calls; believes the familiar gate may still offer a way. Does not know barrier solidity.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,ESCAPE,Begin edging south along their own house side toward the gate-side lane; pause before that junction.,95,105,4.0,0.4,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,A small household pair moves at the distant lower east frontage.,True,False,False,
R20,P07,2,M07 smith and apprentice,"{""M07"": 2}",0,"[-39.5, 11.7]",T0 M07 worktable anchor unchanged; roof-covered open work area,"[-39.5, 11.7]",Heard public crash and danger calls; building hid the assistant interception and current Bone position.,B1,B1,Earlier view of the western forming sheet from the open work frontage; not a contact test.,Frightened; seeking familiar protection,SEEK SHELTER,"Remain in the covered work area, intending to draw inward and close workshop access.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,S03: nearby workshop voices / attempted closure intent; no new door slam is asserted.,False,False,False,
R21,P07,1,Forge customer,{},0,"[-26, 27.5]","REFINEMENT existing east/north forge apron; surviving customer, not assistant","[-25, 22]",Heard the strike/warnings but did not see the assistant die behind the forge.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Begin down the east work apron toward the familiar lower road; the home destination remains unspecified.,95,105,5.59,0.559,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,"S04: movement along the forge east apron, occluded from Bone at present.",False,False,False,
R22,P08,2,Two non-ambulant stall casualties,{},2,"[2, 50]",REFINEMENT two of four approved injured stall users inside the first-strike envelope,"[2, 50]",Direct victims of Blood first strike; no ability to assess distant events.,B0,B0,Pain and floor-level attention; no clear enclosure identification.,"Pain, shock, dependence on helpers",HELP,Signal for help; remain in the immediate strike area because they cannot stand.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Receives R26 and R34 assistance,G01,,False,False,False,
R23,P08,1,Stall casualty needing one helper,{},1,"[4.5, 50.5]",REFINEMENT third injured stall user inside approved strike envelope,"[6, 52.5]","Direct victim; danger is immediate, but unaided running is impossible.",B0,B0,"Attends to injury and nearby hands, not a sky survey.",Pain and urgency; unstable walking,HELP,Accept support and begin a few metres toward the eastern junction edge.,100,105,2.5,0.5,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Receives R27 support during matched movement,G01,,False,False,False,
R24,P08,1,Weight-bearing but limping casualty,{},1,"[-5.8, 48.5]",REFINEMENT fourth injured stall user inside approved strike envelope,"[-7.8, 51.5]","Direct victim; can bear weight slowly, cannot run.",B0,B0,Pain-focused; no confirmed enclosure identification.,Shock with limited independent mobility,HELP,Hobble a few metres toward the west edge with a nearby escort.,99,105,3.606,0.601,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Receives R28 escort,G02,,False,False,False,
R25,P08,1,Westward warning neighbour,{},0,"[-11.0, 52.0]",T1 R03 end +60; one of six talking neighbours,"[-11.0, 52.0]","Direct witness to Blood strike, not Bone location.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Remain at the west frontage calling nearby people away from the well.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Audible warning within this immediate junction only,,,False,False,False,
R26,P08,2,Neighbours kneeling to help,{},0,"[6, 53]",REFINEMENT two of remaining five talking neighbours on junction north/east margin,"[3.5, 51]",Direct view of injured neighbours and the public strike.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,"Approach the two people unable to stand; begin assessing how to lift them, without a completed carry.",95,105,3.202,0.32,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,R22 two non-ambulant people; one nearby helper per patient initially,G01,,False,False,False,
R27,P08,1,Neighbour supporting a casualty,{},0,"[7, 50.5]",REFINEMENT third of remaining talking neighbours at east junction edge,"[6.6, 52.5]",Direct witness and close enough to offer an arm.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,"Reach the injured stall user, then support the same short eastward movement.",95,105,5.4,0.54,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,"R23; reaches patient by +99, accompanies the +100–105 supported move.",G01,,False,False,False,
R28,P08,1,Neighbour escorting limping casualty,{},0,"[-8, 53]","REFINEMENT fourth of remaining talking neighbours, west margin","[-8.4, 52]",Can see injury and immediate strike area; has no wider plan.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Reach the limping person and accompany only a few metres.,92,105,9.369,0.721,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,R24; reaches patient before +99,G02,,False,False,False,
R29,P08,1,Overwhelmed junction neighbour,{},0,"[-11, 53]",REFINEMENT last talking neighbour; outside cottage roof,"[-11, 53]",Direct/near view of first strike and wounded; no remote knowledge.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,"Overwhelmed, indecisive",FREEZE / DELAY,"Remain by the west frontage, unable to choose between home and those calling for help.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R30,P08,3,Centre passers seeking guards,{},0,"[9, 49]",REFINEMENT three of seven passers still at centre core after N03 departed,"[20.72192433549336, 51.68400627511597]","Saw/heard the public attack; expects ordinary guards to help, not supernatural safety.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK AUTHORITY,Begin east/uphill on the main road toward the Mayor guards.,95,105,12.895,1.289,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G06,"A small uphill running stream, distant from Bone.",False,False,True,
R31,P08,2,Centre residents seeking home,{},0,"[-10, 43]",REFINEMENT two further core passers at west/south junction margin,"[-22, 41.5]",Direct local attack recognition; no knowledge that Bone has moved back south.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,"Begin along the west lane toward their own household area, avoiding the exposed well.",95,105,12.345,1.235,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G09,,False,False,False,
R32,P08,2,Hesitating core passers,{},0,"[-10.5, 50]",REFINEMENT last two core passers outside west roof frontage,"[-10.5, 50]",Saw the attack but has not chosen a response to conflicting calls.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,FREEZE / DELAY,"Pause near the warning neighbour, deciding whether to help or leave.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R33,P08,2,M04 water carriers,"{""M04"": 2}",0,"[-18, 35]",Step2B O_M04 exact terminal position,"[-17, 35.6]","Directly witnessed Bone kill the assistant at +45. Lost his position after he left. Recognizes the Witch as a neighbour, not as culprit or someone immune to attack.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Take one cautious step toward the calm familiar householder and call for help.,95,105,1.166,0.117,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Calls to the Witch; no answer or healing occurs,G09,,False,True,False,
R34,P09,2,Porch patrons helping,{},0,"[1.4, 42]",T1 R05 terminal; two of the four porch customers,"[8, 51.5]",Personally saw the strike from the porch and can hear the nearby injured.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Skirt the north/east tavern edge and begin helping at the injured group.,93,105,15.408,1.284,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,"R22; two additional hands arriving by +105, no completed carry",G01,,False,False,False,
R35,P08,3,Earlier passers in old-quarter passage,{},0,"[22.595337642065502, 40.79786922579858]","T1 N03 end +39; still P08, not added to P10","[26.096043272302808, 36.02891198285212]",Hears nearby warnings and public crash through the quarter; has no current Bone view.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Continue a short way down the familiar passage toward home.,95,105,6.0,0.6,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G05,A passage group moving between houses; distant/occluded from Bone.,False,False,False,
R36,P09,2,Porch patrons seeking family,{},0,"[1.4, 42]",T1 R05 terminal; other two porch customers,"[11, 44]",Directly witnessed first strike; prefers family over strangers rescue.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Begin around the north tavern frontage toward the eastern home lanes.,94,105,9.838,0.894,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G07,,False,False,False,
R37,P09,3,Indoor patrons wanting to leave,{},0,"[4, 37]","REFINEMENT three of six indoor customers, within tavern interior","[4, 37]",Warnings plus disappearing window light; no direct view of Blood or exact attack capabilities.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Alarmed; urgent but locally informed,SEEK FAMILY,Start organizing to leave through a familiar door for home; hold at the interior-side queue in this slice.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G08,,False,False,False,
R38,P09,4,Indoor patrons and one staff,{},0,"[7, 33]",REFINEMENT other three indoor customers plus the one indoor staff,"[7, 33]",Heard partial outdoor warnings and saw windows darken; no monster tracking.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Stay inside together and ask those at the door what is happening.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R39,P09,3,M06 receiving staff and delivery,"{""M06"": 3}",0,"[14.1, 30]",T0 M06 unchanged by T1 / Step2B; two staff plus one delivery hand,"[14.1, 30]","Heard violent crash and close screams, but the roof hid the actual strike. Does not know whether inside is safe.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Remain at the service-side threshold; call into the tavern and offer to bring people in.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,Immediate service-side warning/support only; no new arrivals or completed refuge,G08,,False,False,False,
R40,P10,4,CrookedCottage indoor household,{},0,"[37.62248458949683, 33.04321460135457]",REFINEMENT within one of five assigned older-house interiors,"[37.62248458949683, 33.04321460135457]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep household together indoors; seek immediate familiar cover.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R41,P10,4,Cottage_01 indoor household,{},0,"[20.27965221380489, 36.893105540212346]",REFINEMENT within one of five assigned older-house interiors,"[20.27965221380489, 36.893105540212346]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep household together indoors; seek immediate familiar cover.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R42,P10,2,Cottage_06 indoor household,{},0,"[24.515647050656685, 24.465429714281115]",REFINEMENT within one of five assigned older-house interiors,"[24.515647050656685, 24.465429714281115]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep household together indoors; seek immediate familiar cover.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R43,P10,2,Cottage_07 indoor household,{},0,"[37.80250029662195, 46.73107441796052]",REFINEMENT within one of five assigned older-house interiors,"[37.80250029662195, 46.73107441796052]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep household together indoors; seek immediate familiar cover.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R44,P10,2,Cottage_12 indoor household,{},0,"[26.73205604889141, 42.37008607615638]",REFINEMENT within one of five assigned older-house interiors,"[26.73205604889141, 42.37008607615638]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep household together indoors; seek immediate familiar cover.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R45,P10,2,M08 shared-yard neighbours,"{""M08"": 2}",0,"[29.7, 32]",T0 M08 anchor unchanged,"[29.7, 32]",Heard public crash and local warnings; lacks exact attacker positions.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Turn to their nearby houses and call through the yard; hold before choosing a doorway.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R46,P10,5,M09 caregiver and four children,"{""M09"": 5}",0,"[37.7, 51.9]",T1 R04 end +59,"[37.7, 51.9]","Potential view/hearing of public strike; children know danger, not monster identities.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Keep the children close and begin organizing return through their own nearby frontage; no blind sprint.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,Children and a protecting caregiver in an east yard; far from Bone with intervening houses.,False,False,False,
R47,P10,1,Other older-yard resident,{},0,"[30, 34]","REFINEMENT eighth shared-yard occupant, separate from M08 and M09","[30, 34]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Warn the next household from the yard without starting a distant journey.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,"Nearby older-house occupants, incomplete warning only",,,False,False,False,
R48,P10,2,Two old-quarter alley users,{},0,"[25, 36.5]",REFINEMENT two T0 alley users in the existing passage gap,"[26, 36]",Sees people moving purposefully and hears local danger calls; assumes they know a way home.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,FOLLOW OTHERS,Begin moving with the three familiar passers already coming through the passage.,95,105,1.118,0.112,"R35 three P08-origin passers, all still separately counted.",Other original-cohort subgroups remain in their separately recorded positions.,,G05,Five people beginning to thread an alley; no Bone attention change.,False,False,False,
R49,P11,2,CrushedHome interior pair,{},0,"[-27.88307244680624, 61.19427883797796]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-27.88307244680624, 61.19427883797796]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R50,P11,2,RearCottage interior pair,{},0,"[-45.3496550612422, 62.592764474378114]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-45.3496550612422, 62.592764474378114]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R51,P11,2,EndRowCottage interior pair,{},0,"[-48.817499959784996, 77.13793811959616]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-48.817499959784996, 77.13793811959616]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R52,P11,2,WeaverCottage interior pair,{},0,"[-41.232134381598044, 38.28402912726026]",REFINEMENT two people per assigned western household; total fourteen indoors,"[-41.232134381598044, 38.28402912726026]",Catastrophic darkness and nearby calls; no direct identification or current position of either attacker.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,"Remain at home, bring the household close and listen.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
