time_s,event,actor,x_m,y_m,new_fatalities,new_injuries,living_after,cause,direct_witnesses,likely_listeners
129.909,A03_BARRIER_EAST,barrier,72.1367,64.3159,1,0,156,This pair has received no west-trail report. B1 does not reveal contact lethality; their original cautious approach reaches the boundary.,R70:02,R71:01
133,A04_BLOOD_WEST_SHELTER,Blood,-16.5,59.0,6,1,150,Blood follows the last visible six-person rescue/refuge stream to its calling shelter. A heavy surge crosses the existing cottage wall and its north-side entry attempt; the limping escort continues outside at its slower pace.,,R20:02;R23:01;R24:01;R27:01;R28:01;R33:01;R33:02;R34:01;R34:02;R37:01;R37:02;R37:03;R39:01;R39:02;R39:03;R49:01;R49:02;R50:01;R50:02;R54:01;R54:02;R55:01;R55:02;R56:01;R57:01;R57:02;R60:01;R60:02;R64:01;R64:02;R72:01;R72:02;R72:03
135.615,A05_BARRIER_FIELD,barrier,-58.1229,-75.9726,1,0,149,Neither western field worker has received a trail or animal-yard warning. Their ordinary escape attempt reaches the actual rim.,R04:02,
140,A06_BONE_WATER,Bone,-40.3101,43.8082,1,0,148,"Bone has observed and followed the specific clattering pair since +125. He selects the exposed caller, not the hidden household.",R33:02,R31:01;R31:02;R52:01;R52:02;R54:01;R54:02
147,A07_BONE_SHUTTER,Bone,-35.2,56.4,0,0,148,Sudden shutter movement attracted Bone. This is an intentional object hit and observation pause.,,R24:01;R28:01;R49:01;R49:02;R54:01;R54:02;R56:01;R57:01;R57:02;R72:01;R72:02;R72:03
153,A08_BLOOD_TAVERN,Blood,4.6871,35.7437,6,0,142,Blood follows the loud receiving doorway and multiple people seen using it. The wave crosses the timber front into that occupied room; it is not knowledge of a hidden numerical census.,,R16:01;R16:02;R16:03;R17:01;R17:02;R18:01;R18:02;R19:01;R19:02;R21:01;R23:01;R24:01;R27:01;R28:01;R30:01;R30:02;R30:03;R34:01;R34:02;R36:01;R36:02;R37:01;R37:02;R37:03;R41:01;R41:02;R41:03;R41:04;R42:01;R42:02;R44:01;R44:02;R57:01;R57:02;R60:01;R60:02;R39:01
154,A08_BONE_RESCUER,Bone,-22.0,56.0,1,0,141,"The visible protective gesture, not the size of the group, attracts the exact attack.",R57:02;R24:01;R28:01,R49:01;R49:02;R55:01;R55:02;R56:01
159,A09_BONE_OBSERVES,Bone,-21.0,65.5,0,0,141,The helper abandoned the lift and is now being deliberately allowed to choose another direction.,R57:02,
171,A11_BONE_HELPER,Bone,-15.456,67.192,1,0,140,Bone has repeatedly allowed this one person to choose a direction and changed angle to observe. This closes that local torment encounter.,R24:01;R28:01,R30:01;R30:02;R30:03
172,A11_BLOOD_RESCUE,Blood,16.253,53.9483,5,0,135,The visible slow five-person rescue group is Blood's selected physical concentration. Their supported retreat changes the location but cannot match the deliberate advance.,,R24:01;R28:01;R30:01;R30:02;R30:03;R35:01;R35:02;R35:03;R36:01;R36:02;R37:01;R37:02;R37:03;R40:01;R40:02;R40:03;R40:04;R41:01;R41:02;R41:03;R41:04;R42:01;R42:02;R43:01;R43:02;R44:01;R44:02;R45:01;R45:02;R46:01;R46:02;R46:03;R46:04;R46:05;R47:01;R48:01;R48:02;R70:02;R71:01
181,A12_BONE_BELL,Bone,23.5,86.4,1,0,134,Bone follows the renewed sound to its actual ground-floor source and sees the rope user through the public entrance.,R60:01;R60:02;R64:01;R64:02;R69:01;R69:02,
184,A13_BONE_THRESHOLD,Bone,23.5,84.8,0,0,134,The bell has stopped. Bone holds the opening briefly instead of clearing the nave.,R60:01;R60:02;R64:01;R64:02;R69:01;R69:02,
197,A14_BONE_GATE,Bone,2.0,125.5,0,0,134,"The guard watches the approaching figure and raises a weapon. Bone targets the nearby fastening, not a missed human hit.",R74:01;R65:01;R65:02;R65:03,R78:01;R79:01;R79:02
202,A15_BONE_GUARD,Bone,2.0,123.5,1,0,133,The guard stepped forward after the deliberate gate hit to cover the retreating civilians.,R65:01;R65:02;R65:03;R76:01,R78:01;R79:01;R79:02
203,A15_BLOOD_EVACUEES,Blood,39.8387,59.9193,9,0,124,The nine-person exposed household evacuation turns north when Blood appears. Blood strikes that moving outdoor concentration rather than the hidden larger house nearby.,R43:01;R43:02;R46:01;R46:02;R46:03;R46:04;R46:05,R35:01;R35:02;R35:03;R40:01;R40:02;R40:03;R40:04;R44:01;R44:02;R45:01;R45:02;R47:01;R48:01;R48:02;R68:01;R68:02;R70:02;R71:01
204.271,A15_BARRIER_APPROACH,barrier,-5.077,-163.4555,1,0,123,This group has travelled the main approach without meeting any side-boundary witness. Familiar geography did not supply the missing contact rule.,R13:02;R13:03;R13:04,R06:01;R06:02
214,A16_BONE_CART,Bone,-16.0,136.8,1,0,122,"The clattering wheels and visible pulling motion attracted Bone. The other worker was already going for help, and the stable worker remains concealed.",R78:01,R79:01
224,A17_BLOOD_HOUSE_RETURN,Blood,35.5,45.0,9,0,113,The family reversed into the closest known home after the outdoor strike. Blood followed those audible/visible movements around its exterior and now strikes the occupied entry/room.,,R35:01;R35:02;R35:03;R40:01;R40:02;R40:03;R40:04;R42:01;R42:02;R45:01;R45:02;R47:01;R48:01;R48:02;R68:01;R68:02;R70:02;R71:01
231,A18_BONE_LATCH,Bone,2.0,137.7056,0,0,113,The guard tries to close the same observed threshold after the worker enters. Bone chooses the fastening as a deliberate threat.,R76:01;R79:01;R65:01;R65:02;R65:03,R73:01;R77:01;R77:02;R77:03;R78:01
239,A19_BLOOD_LOWER_FLIGHT,Blood,31.2635,35.1756,5,5,108,The observed five-person flight turns southwest from the noisy refuge. Blood follows that group with a broad strike; intervening occupied wall bays are affected only where the geometry intersects.,,R16:01;R16:02;R16:03;R40:01;R40:02;R40:03;R40:04;R42:01;R42:02;R47:01;R48:01;R48:02;R68:01;R68:02;R70:02;R71:01
241,A19_BONE_HOUSE_GUARD,Bone,2.027,136.9561,1,0,107,The guard deliberately presents himself at the same watched threshold after its fastening fails.,R65:01;R65:02;R65:03;R79:01,R73:01;R77:01;R77:02;R77:03;R78:01
250,A20_BONE_STAIR_WARNING,Bone,2.0,120.0,0,0,107,The guard watches from the stairs and signals to the people behind him. Bone first threatens the nearby edge rather than instantly killing.,R75:01;R30:01;R30:02;R30:03,
252,A20_BLOOD_INJURED_REFUGE,Blood,37.4702,33.4105,7,0,100,Multiple wounded people and helpers are now audible in the struck room. Blood directs a second heavy surge into that real concentration; unexposed households are not included.,,R16:01;R16:02;R16:03;R42:01;R42:02;R68:01;R68:02;R70:02;R71:01
256,A21_BONE_LAST_GUARD,Bone,0.7695,119.0574,1,0,99,He remains in front after ordering the three people back down the formal stairs.,R30:01;R30:02;R30:03,
265.2,A22_WITCH_STAIR_PASS,Witch,-2.8642,104.4623,0,0,99,Their actual opposite-direction trajectories meet on the formal stair. She neither detours nor stops.,R30:01;R30:02;R30:03,
270,A22_BONE_DOOR_WORKER,Bone,2.0,138.5,1,0,98,"Bone intentionally targets the person operating the visible door, not anyone behind the opening.",R77:01;R77:02;R77:03,R65:01;R65:02;R65:03;R73:01;R78:01
292.579,A23_WITCH_GATE,Witch,2.0,124.0,0,0,98,She reaches the end of the saved stair profile and continues across the court. No artificial waiting for remaining civilians is introduced.,,
305.2,A24_WITCH_DOOR,Witch,2.0,137.8324,0,0,98,Her route follows the formal courtyard and surveyed threshold. The primary event has not concluded while the Mayor remains alive.,R77:01;R77:02;R77:03,
312.625,A25_MAYOR_FINAL,Witch,2.0,146.0,1,0,97,Minimal ledger resolution authorized by the user; exact cinematic choreography is reserved. No quota-driven hidden deaths or post-Mayor civilian massacre is appended.,R77:01;R77:02;R77:03,
