time_s,topic,channel,source,source_group,recipients,claim,phase
181,warnings,sound,A12_BONE_BELL,,,Heard a close abrupt strike/cries; source details not yet established.,C12_action
184,Bone,direct,A13_BONE_THRESHOLD,,R60:01;R60:02;R64:01;R64:02;R69:01;R69:02,"Bone remains at the entrance, watching the witnesses withdraw. No second church kill is assigned. Local event only; no remote actor position or safe-route guarantee.",C13_action
184,warnings,sound,A13_BONE_THRESHOLD,,,Heard a close abrupt strike/cries; source details not yet established.,C13_action
185,Blood,relay,EAST_NEIGHBOUR_CALL,R37,R43:01;R43:02;R46:01;R46:02;R46:03;R46:04;R46:05,The tavern was struck while people were inside. We are trying the uphill neighbourhood; come away from that side.,C13_reaction
196.69999999999976,Blood,relay,CENTRE_GUARD_REPORT,R30,R75:01,Heavy supernatural force struck people at the centre. We came uphill seeking guards. We do not know a safe escape.,C14_reaction
197,Bone,direct,A14_BONE_GATE,,R74:01;R65:01;R65:02;R65:03,A precise strike clips the gate fastening beside the guard. It deliberately leaves the guard untouched. Local event only; no remote actor position or safe-route guarantee.,C14_action
197,warnings,sound,A14_BONE_GATE,,R78:01;R79:01;R79:02,Heard a close abrupt strike/cries; source details not yet established.,C14_action
198,Blood,direct,EAST_CORNER_SIGHT,,R36:01;R36:02;R37:01;R37:02;R37:03;R41:01;R41:02;R41:03;R41:04,"The heavy attacker is directly across the passage, close to the planned uphill meeting point.",C15_reaction
202,Bone,direct,A15_BONE_GUARD,,R65:01;R65:02;R65:03;R76:01,The entrance guard is killed with an exact strike while trying to hold the formal approach. Local event only; no remote actor position or safe-route guarantee.,C15_action
202,specific_deaths,direct,A15_BONE_GUARD,,R65:01;R65:02;R65:03;R76:01,Saw the immediately exposed people struck; event A15_BONE_GUARD records who. No remote deaths inferred.,C15_action
202,warnings,sound,A15_BONE_GUARD,,R78:01;R79:01;R79:02,Heard a close abrupt strike/cries; source details not yet established.,C15_action
203,Blood,direct,A15_BLOOD_EVACUEES,,R43:01;R43:02;R46:01;R46:02;R46:03;R46:04;R46:05,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C15_action
203,specific_deaths,direct,A15_BLOOD_EVACUEES,,R43:01;R43:02;R46:01;R46:02;R46:03;R46:04;R46:05,Saw the immediately exposed people struck; event A15_BLOOD_EVACUEES records who. No remote deaths inferred.,C15_action
203,warnings,sound,A15_BLOOD_EVACUEES,,R35:01;R35:02;R35:03;R40:01;R40:02;R40:03;R40:04;R44:01;R44:02;R45:01;R45:02;R47:01;R48:01;R48:02;R68:01;R68:02;R70:02;R71:01,Heard a heavy crash/cries; source details not yet established.,C15_action
204.271,barrier,direct,A15_BARRIER_APPROACH,,R13:02;R13:03;R13:04,The leading southern-road escapee physically attempts the forest exit and is killed. Local event only; no remote actor position or safe-route guarantee.,C15_action
204.271,specific_deaths,direct,A15_BARRIER_APPROACH,,R13:02;R13:03;R13:04,Saw the immediately exposed people struck; event A15_BARRIER_APPROACH records who. No remote deaths inferred.,C15_action
204.271,warnings,sound,A15_BARRIER_APPROACH,,R06:01;R06:02,Heard an abrupt perimeter impact/cries; source details not yet established.,C15_action
206,Bone,relay,ESTATE_GATE_WITNESS,,R76:01,The precise attacker killed the gate guard after the earlier deliberate near strike. It was still at the approach when we ran.,C16_reaction
210,barrier,relay,SOUTH_APPROACH_WARNING,R13,R06:01;R06:02,The person ahead was killed touching the road boundary. Do not continue to it.,C16_reaction
214,Bone,direct,A16_BONE_CART,,R78:01,The remaining cart worker is killed with an exact strike while pulling provisions into cover. Local event only; no remote actor position or safe-route guarantee.,C16_action
214,specific_deaths,direct,A16_BONE_CART,,R78:01,Saw the immediately exposed people struck; event A16_BONE_CART records who. No remote deaths inferred.,C16_action
214,warnings,sound,A16_BONE_CART,,R79:01,Heard a close abrupt strike/cries; source details not yet established.,C16_action
216,Bone,relay,MAYOR_GUARD_REPORT,R76,R73:01;R77:01;R77:02;R77:03,Refugees report the entrance guard was killed by a precise attacker. There is danger at the formal approach; its current position is unknown.,C17_reaction
224,Blood,direct,A17_BLOOD_HOUSE_RETURN,,,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C17_action
224,specific_deaths,direct,A17_BLOOD_HOUSE_RETURN,,,Saw the immediately exposed people struck; event A17_BLOOD_HOUSE_RETURN records who. No remote deaths inferred.,C17_action
224,warnings,sound,A17_BLOOD_HOUSE_RETURN,,R35:01;R35:02;R35:03;R40:01;R40:02;R40:03;R40:04;R42:01;R42:02;R45:01;R45:02;R47:01;R48:01;R48:02;R68:01;R68:02;R70:02;R71:01,Heard a heavy crash/cries; source details not yet established.,C17_action
225,warnings,relay,CART_WORKER_REPORT,R79D,R76:01,"I heard a sharp impact and cries at the service cart after I left it. I came here for help; I cannot confirm who or what struck, or everyone's outcome.",C18_reaction
231,Bone,direct,A18_BONE_LATCH,,R76:01;R79:01;R65:01;R65:02;R65:03,A precise hit breaks the attempted front-door fastening. Bone does not strike through toward the Mayor. Local event only; no remote actor position or safe-route guarantee.,C18_action
231,warnings,sound,A18_BONE_LATCH,,R73:01;R77:01;R77:02;R77:03;R78:01,Heard a close abrupt strike/cries; source details not yet established.,C18_action
239,Blood,direct,A19_BLOOD_LOWER_FLIGHT,,,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C19_action
239,specific_deaths,direct,A19_BLOOD_LOWER_FLIGHT,,,Saw the immediately exposed people struck; event A19_BLOOD_LOWER_FLIGHT records who. No remote deaths inferred.,C19_action
239,warnings,sound,A19_BLOOD_LOWER_FLIGHT,,R16:01;R16:02;R16:03;R40:01;R40:02;R40:03;R40:04;R42:01;R42:02;R47:01;R48:01;R48:02;R68:01;R68:02;R70:02;R71:01,Heard a heavy crash/cries; source details not yet established.,C19_action
241,Bone,direct,A19_BONE_HOUSE_GUARD,,R65:01;R65:02;R65:03;R79:01,"The house-duty guard is killed precisely while holding the breached doorway. The people behind him, including the Mayor, are not hit. Local event only; no remote actor position or safe-route guarantee.",C19_action
241,specific_deaths,direct,A19_BONE_HOUSE_GUARD,,R65:01;R65:02;R65:03;R79:01,Saw the immediately exposed people struck; event A19_BONE_HOUSE_GUARD records who. No remote deaths inferred.,C19_action
241,warnings,sound,A19_BONE_HOUSE_GUARD,,R73:01;R77:01;R77:02;R77:03;R78:01,Heard a close abrupt strike/cries; source details not yet established.,C19_action
250,Bone,direct,A20_BONE_STAIR_WARNING,,R75:01;R30:01;R30:02;R30:03,A precise hit marks the retaining edge beside the investigating guard. It is deliberately nonhuman. Local event only; no remote actor position or safe-route guarantee.,C20_action
250,warnings,sound,A20_BONE_STAIR_WARNING,,,Heard a close abrupt strike/cries; source details not yet established.,C20_action
252,Blood,direct,A20_BLOOD_INJURED_REFUGE,,,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C20_action
252,specific_deaths,direct,A20_BLOOD_INJURED_REFUGE,,,Saw the immediately exposed people struck; event A20_BLOOD_INJURED_REFUGE records who. No remote deaths inferred.,C20_action
252,warnings,sound,A20_BLOOD_INJURED_REFUGE,,R16:01;R16:02;R16:03;R42:01;R42:02;R68:01;R68:02;R70:02;R71:01,Heard a heavy crash/cries; source details not yet established.,C20_action
256,Bone,direct,A21_BONE_LAST_GUARD,,R30:01;R30:02;R30:03,The investigating guard is killed precisely while covering the witnesses' retreat. Local event only; no remote actor position or safe-route guarantee.,C21_action
256,specific_deaths,direct,A21_BONE_LAST_GUARD,,R30:01;R30:02;R30:03,Saw the immediately exposed people struck; event A21_BONE_LAST_GUARD records who. No remote deaths inferred.,C21_action
256,warnings,sound,A21_BONE_LAST_GUARD,,,Heard a close abrupt strike/cries; source details not yet established.,C21_action
257,barrier,relay,RETURNING_FIELD_WARNING,R13,R02:01;R02:02,The southern road boundary killed someone on contact. Turn back before reaching it.,C21_reaction
265.2,Witch,direct,A22_WITCH_STAIR_PASS,,R30:01;R30:02;R30:03,The Witch walks uphill past the three descending witnesses and does not respond to their distress. Local event only; no remote actor position or safe-route guarantee.,C22_action
265.2,warnings,sound,A22_WITCH_STAIR_PASS,,,Heard an abrupt perimeter impact/cries; source details not yet established.,C22_action
270,Bone,direct,A22_BONE_DOOR_WORKER,,R77:01;R77:02;R77:03,The worker pulling the damaged door is killed with a precise hit at the opening. The Mayor and rear household workers are not struck. Local event only; no remote actor position or safe-route guarantee.,C22_action
270,specific_deaths,direct,A22_BONE_DOOR_WORKER,,R77:01;R77:02;R77:03,Saw the immediately exposed people struck; event A22_BONE_DOOR_WORKER records who. No remote deaths inferred.,C22_action
270,warnings,sound,A22_BONE_DOOR_WORKER,,R65:01;R65:02;R65:03;R73:01;R78:01,Heard a close abrupt strike/cries; source details not yet established.,C22_action
282,Bone,relay,UPPER_HOUSE_WARNING,R30,R61:01;R61:02;R66:01,The investigating guard was killed precisely on the stairs. We came back down. The estate approach is dangerous.,C22_reaction
292.57925441139133,Witch,direct,A23_WITCH_GATE,,,"The Witch passes the formal gate into the Mayor's grounds, maintaining her walking route. Local event only; no remote actor position or safe-route guarantee.",C23_action
292.57925441139133,warnings,sound,A23_WITCH_GATE,,,Heard an abrupt perimeter impact/cries; source details not yet established.,C23_action
305.2,Witch,direct,A24_WITCH_DOOR,,R77:01;R77:02;R77:03,The Witch reaches the existing mansion front doorway and continues toward the Mayor. Local event only; no remote actor position or safe-route guarantee.,C24_action
305.2,warnings,sound,A24_WITCH_DOOR,,,Heard an abrupt perimeter impact/cries; source details not yet established.,C24_action
312.625,Witch,direct,A25_MAYOR_FINAL,,R77:01;R77:02;R77:03,WITCH REACHES MAYOR. The Witch personally kills him. MAYOR IS FINAL DEATH. PRIMARY MASSACRE EVENT COMPLETE. Local event only; no remote actor position or safe-route guarantee.,C25_action
312.625,specific_deaths,direct,A25_MAYOR_FINAL,,R77:01;R77:02;R77:03,Saw the immediately exposed people struck; event A25_MAYOR_FINAL records who. No remote deaths inferred.,C25_action
312.625,warnings,sound,A25_MAYOR_FINAL,,,Heard an abrupt perimeter impact/cries; source details not yet established.,C25_action
