group_id,origin_cohort,original_count,surviving_count,injured_survivors,xy_m,blood_channel,blood_information,distance_to_blood_event_m,blood_roof_obstructions,bone_channel,bone_information,distance_to_bone_event_m,bone_roof_obstructions,barrier_before,barrier_after,barrier_contact_information,bell_information,movement_source,next_decision
R42,P10,2,2,0,"[24.515647050656685, 24.465429714281115]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",33.15,"[""Tavern"", ""Cottage_06""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,59.75,"[""NeedleHouse"", ""Cottage_04"", ""Cottage_06""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R43,P10,2,2,0,"[37.80250029662195, 46.73107441796052]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",34.01,"[""Cottage_07""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,80.56,"[""Tavern"", ""Cottage_01"", ""Cottage_04"", ""Cottage_07"", ""Cottage_12""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R44,P10,2,2,0,"[26.73205604889141, 42.37008607615638]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",24.14,"[""Cottage_12""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,68.76,"[""Tavern"", ""Cottage_01"", ""Cottage_04"", ""Cottage_09"", ""Cottage_12""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R45,P10,2,2,0,"[29.7, 32.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",31.67,"[""Cottage_01"", ""Cottage_01_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,67.03,"[""NeedleHouse"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R46,P10,5,5,0,"[37.7, 51.9]",POSSIBLE_VIEW_AND_SOUND,May see the renewed impact at range and hear it; exact persons/injury outcomes are not identifiable by fiat.,33.73,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,83.06,"[""Tavern"", ""Cottage_01"", ""Cottage_04"", ""Cottage_07"", ""Cottage_09"", ""Cottage_12""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R47,P10,1,1,0,"[30.0, 34.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",30.79,"[""Cottage_01"", ""Cottage_01_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,68.04,"[""NeedleHouse"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R48,P10,2,2,0,"[26.32772137970897, 35.69454509779405]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",26.79,"[""Cottage_01"", ""Cottage_01_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,64.56,"[""NeedleHouse"", ""Tavern"", ""Cottage_01"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R49,P11,2,2,0,"[-27.88307244680624, 61.19427883797796]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",33.63,"[""CrushedHome"", ""Cottage_02"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,53.11,"[""CrushedHome"", ""Blacksmith"", ""Cottage_10""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R50,P11,2,2,0,"[-45.3496550612422, 62.592764474378114]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",50.81,"[""CrushedHome"", ""RearCottage"", ""Cottage_02"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,55.65,"[""RearCottage"", ""WeaverCottage"", ""Blacksmith"", ""Cottage_05""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R51,P11,2,2,0,"[-48.817499959784996, 77.13793811959616]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",59.15,"[""CrushedHome"", ""EndRowCottage"", ""Cottage_02"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,70.6,"[""RearCottage"", ""EndRowCottage"", ""WeaverCottage"", ""Blacksmith"", ""Cottage_05""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R52,P11,2,2,0,"[-41.232134381598044, 38.28402912726026]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",46.85,"[""WeaverCottage""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,31.06,"[""WeaverCottage"", ""Blacksmith""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R53,P11,2,2,0,"[-14.260708779836456, 58.04842827233592]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",19.76,"[""Cottage_02"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,53.14,"[""Blacksmith"", ""Cottage_02""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R54,P11,2,2,0,"[-37.899308185831046, 50.76175294041746]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",41.9,"[""Cottage_05"", ""Cottage_10""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,42.71,"[""WeaverCottage"", ""Blacksmith"", ""Cottage_05""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R55,P11,2,2,0,"[-28.70080697669929, 47.735625027594516]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",32.82,"[""Cottage_10""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,39.64,"[""Blacksmith"", ""Cottage_10""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R56,P11,1,1,0,"[-22.0, 58.4]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",27.17,"[""Cottage_02"", ""Cottage_13""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,51.27,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
