id,start,planned_end,actual_end,end_xy,end_reason,people,path,intention,kind,destination_shelter,group
M0020,96.0,113.35290670827591,114.0,"[-11.787435373886238, 97.35387224952333]",arrived,"[""P12-11""]","[[-9.464555459672066, 86.2095380354096], [-16, 86], [-16, 96], [-12, 98], [-11.787435373886238, 97.35387224952333]]",seek familiar home / nearby refuge,walk,UpperCottage,G066
M0021,96.0,113.74464167215078,114.0,"[49.07730645402086, 53.0628724439064]",arrived,"[""P14-05"", ""P14-06""]","[[61.0, 54.0], [60, 60], [50, 58], [48, 54], [49.07730645402086, 53.0628724439064]]",seek familiar home / nearby refuge,walk,SplitRoofCottage,G073
M0022,97.0,119.05798259847677,120.0,"[-18.98541036008903, -48.36161970824931]",arrived,"[""P02-01"", ""P02-02""]","[[-25.4, -51.3], [-26, -52], [-24, -60], [-16, -58], [-18, -50], [-18.98541036008903, -48.36161970824931]]",seek familiar home / nearby refuge,walk,SouthBarn,G004
M0023,97.0,115.84771690121843,116.0,"[-14.474450262098099, -44.18670726408049]",arrived,"[""P04-04"", ""P04-05""]","[[-24.7, -59.8], [-16, -58], [-14, -46], [-14, -44], [-14.474450262098099, -44.18670726408049]]",seek familiar home / nearby refuge,walk,Farmstead_South,G011
M0024,97.0,104.83680302213263,104.0,"[-36.71580934610679, 12.715809346106788]",fresh local decision,"[""P07-04""]","[[-26.806651427318506, 18.493347430332513], [-26, 18], [-34, 10], [-38, 14], [-37.913614219567194, 13.934306538614651]]",seek familiar home / nearby refuge,flee,Blacksmith,G025
M0025,97.0,104.84601316698522,105.0,"[16.770385365797996, 34.58378412610841]",arrived,"[""P08-17"", ""P08-18"", ""P08-19""]","[[22.5953376421, 40.7978692258], [20, 44], [14, 38], [16, 34], [16.770385365797996, 34.58378412610841]]",seek familiar home / nearby refuge,flee,Cottage_01,G032
M0026,97.0,97.72548480763277,98.0,"[27.998173433291438, 47.66286649605519]",arrived,"[""P10-23"", ""P10-24""]","[[27.0, 49.0], [27.998173433291438, 47.66286649605519]]",seek familiar home / nearby refuge,flee,Cottage_12,G046
M0027,97.0,109.57688139820593,110.0,"[-49.96279747515737, 67.14973344543431]",arrived,"[""P11-21"", ""P11-22""]","[[-36.0, 69.0], [-48, 70], [-50, 68], [-49.96279747515737, 67.14973344543431]]",seek familiar home / nearby refuge,walk,RearCottage,G060
M0028,97.0,117.17617359599265,118.0,"[-36.32562592618182, 97.60879960630098]",arrived,"[""P12-12""]","[[-48.19062520929601, 94.18429352472951], [-48, 90], [-38, 88], [-36, 94], [-36, 98], [-36.32562592618182, 97.60879960630098]]",seek familiar home / nearby refuge,walk,SealedCellarCottage,G067
M0029,97.0,111.76530818699399,112.0,"[46.442720807212496, 71.53884653341434]",arrived,"[""P14-07""]","[[57.0, 75.0], [56, 70], [48, 68], [46, 72], [46.442720807212496, 71.53884653341434]]",seek familiar home / nearby refuge,walk,Cottage_08,G074
M0030,97.0,124.72405999209087,125.0,"[-11.787435373886238, 97.35387224952333]",arrived,"[""P16-08""]","[[-11.0, 132.0], [-11.787435373886238, 97.35387224952333]]",seek familiar home / nearby refuge,walk,UpperCottage,G081
M0031,98.0,127.24708709182737,128.0,"[-18.98541036008903, -48.36161970824931]",arrived,"[""P02-03"", ""P02-04""]","[[-37.0, -74.0], [-16, -58], [-18, -50], [-18.98541036008903, -48.36161970824931]]",seek familiar home / nearby refuge,walk,SouthBarn,G005
M0032,98.0,103.36656314599949,104.0,"[-26.0, -56.0]",arrived,"[""P04-06""]","[[-29.0, -50.0], [-26.0, -56.0]]",take shared handcart and monopolise stored supplies,walk,,G012
M0033,98.0,110.21279956159437,111.0,"[-4.040238207934997, 25.286613833901367]",arrived,"[""P08-01"", ""P08-02""]","[[-18.0, 35.0], [-16, 26], [-12, 20], [-4, 24], [-4, 26], [-4.040238207934997, 25.286613833901367]]",seek familiar home / nearby refuge,flee,Cottage_09,G026
M0034,98.0,105.97942926524343,106.0,"[-5.033559119289219, 52.534300848406644]",arrived,"[""P08-20""]","[[-0.9447419445723058, 54.71003094989631], [0, 52], [-6, 52], [-5.033559119289219, 52.534300848406644]]",take unattended market valuables for private gain,walk,,G033
M0035,98.0,102.84558900071639,103.0,"[-29.319548372604338, 55.76407259218187]",arrived,"[""P11-15""]","[[-22.0, 58.4], [-24, 56], [-26, 54], [-30, 56], [-29.319548372604338, 55.76407259218187]]",seek familiar home / nearby refuge,flee,CrushedHome,G054
M0036,98.0,117.79300044134419,118.0,"[6.48448429579499, 83.62224500763776]",arrived,"[""P12-13""]","[[-2.1778541670832885, 93.14662885351775], [-4, 92], [-4, 84], [6, 82], [8, 84], [6.48448429579499, 83.62224500763776]]",seek familiar home / nearby refuge,walk,Cottage_03,G068
M0037,98.0,98.63158619520895,99.0,"[-46.65182102541879, 71.01972056962381]",arrived,"[""P15-01"", ""P15-02"", ""P15-03""]","[[-47.0088105554, 70.3155604468], [-46.65182102541879, 71.01972056962381]]",seek familiar home / nearby refuge,walk,EndRowCottage,G075
M0038,98.0,144.56227490653768,145.0,"[-36.32562592618182, 97.60879960630098]",arrived,"[""P17-01"", ""P17-02""]","[[-41.3394326163, 155.5952872518], [-36.32562592618182, 97.60879960630098]]",seek familiar home / nearby refuge,walk,SealedCellarCottage,G082
M0039,99.0,109.98864805111656,110.0,"[-18.98541036008903, -48.36161970824931]",arrived,"[""P02-05""]","[[-19.2, -59.6], [-16, -58], [-18, -50], [-18.98541036008903, -48.36161970824931]]",seek familiar home / nearby refuge,walk,SouthBarn,G006
M0040,99.0,119.56747885223403,120.0,"[56.192150997369936, 15.562388427328264]",arrived,"[""P06-09"", ""P06-10""]","[[11.0, 25.0], [24, 18], [56, 16], [56.192150997369936, 15.562388427328264]]",try nearby forest/field edge; lethal response unknown,flee,,G020
M0041,99.0,112.63400445322883,104.0,"[-39.39899621375979, 1.0321019490526218]",fresh local decision,"[""P06-13"", ""P06-14""]","[[-32.09347877672634, 2.728985851150895], [-52.01417023065732, -1.898078684413139]]",try nearby forest/field edge; lethal response unknown,flee,,G022
M0042,99.0,126.67660539952115,116.0,"[-1.8358795366053244, 60.45896988415133]",fresh local decision,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10""]","[[-0.13865005712885203, 50.84343098051059], [0, 60], [-8, 62], [-8.357889506667886, 61.5360297357218]]",seek familiar home / nearby refuge,flee,Cottage_13,G029
M0043,99.0,108.92771095341703,109.0,"[-8.357889506667886, 61.5360297357218]",arrived,"[""P08-11""]","[[-6.0008512225820025, 51.90774220228006], [0, 52], [0, 60], [-8, 62], [-8.357889506667886, 61.5360297357218]]",seek familiar home / nearby refuge,flee,Cottage_13,G030
M0044,99.0,118.62569586931912,,,,"[""P09-08"", ""P09-09"", ""P09-10"", ""P09-11""]","[[7.65, 42.0], [-2, 40], [-2, 38], [-1.7532251994167067, 38.86719911837331]]",seek familiar home / nearby refuge,flee,Tavern,G036
M0045,99.0,106.77378657042044,107.0,"[32.14975474897307, 49.38324446201034]",arrived,"[""P10-17"", ""P10-18"", ""P10-19"", ""P10-20"", ""P10-21""]","[[42.16949295747765, 51.32202817008938], [34, 52], [32, 50], [32.14975474897307, 49.38324446201034]]",seek familiar home / nearby refuge,flee,Cottage_07,G044
M0046,99.0,99.0,100.0,"[-41.16767018812345, 58.46170291279612]",arrived,"[""P11-16""]","[[-41.16767018812345, 58.46170291279612], [-41.16767018812345, 58.46170291279612]]",seek familiar home / nearby refuge,flee,RearCottage,G055
M0047,99.0,104.77767492554806,105.0,"[-11.787435373886238, 97.35387224952333]",arrived,"[""P12-14""]","[[-18.995464369, 96.903367205], [-11.787435373886238, 97.35387224952333]]",seek familiar home / nearby refuge,walk,UpperCottage,G069
M0048,99.0,99.13648867912147,100.0,"[23.5, 83.87061084890183]",arrived,"[""P13-01""]","[[23.5, 83.7], [23.5, 83.87061084890183]]",pull accessible emergency bell rope,walk,,G070
M0049,100.0,110.98864805111656,111.0,"[-18.98541036008903, -48.36161970824931]",arrived,"[""P02-06""]","[[-19.2, -59.6], [-16, -58], [-18, -50], [-18.98541036008903, -48.36161970824931]]",seek familiar home / nearby refuge,walk,SouthBarn,G007
M0050,100.0,116.79804127876056,117.0,"[10.621021259015597, 17.14278825469435]",arrived,"[""P06-11"", ""P06-12""]","[[25.0, 13.0], [16, 22], [10, 18], [10.621021259015597, 17.14278825469435]]",seek familiar home / nearby refuge,walk,CollapsedCellarCottage,G021
M0051,100.0,116.58187221178403,117.0,"[-46.65182102541879, 71.01972056962381]",arrived,"[""P11-17""]","[[-50.776880177090916, 82.67334516556164], [-55.80146497036615, 79.291764428442], [-55.913447548012506, 78.82702456051321], [-50.48602598570758, 70.12525806862209], [-46.65182102541879, 71.01972056962381]]",seek familiar home / nearby refuge,walk,EndRowCottage,G056
M0052,100.0,123.54230235129945,124.0,"[-3.0, 95.0]",arrived,"[""P16-02""]","[[2.0, 124.0], [-3.0, 95.0]]",investigate lower emergency from staircase base,walk,,G077
M0053,104.0,112.63400445322883,110.0,"[-48.16561713819992, -1.004158733465303]",fresh local decision,"[""P06-13"", ""P06-14""]","[[-39.39899621375979, 1.0321019490526218], [-52.01417023065732, -1.8980786844131357]]",try nearby forest/field edge; lethal response unknown,flee,,G022
M0054,104.0,104.74288966314886,105.0,"[-37.913614219567194, 13.934306538614651]",arrived,"[""P07-04""]","[[-36.71580934610679, 12.715809346106788], [-37.913614219567194, 13.934306538614651]]",seek familiar home / nearby refuge,flee,Blacksmith,G025
M0055,107.0,128.91499007662514,129.0,"[-14.474450262098099, -44.18670726408049]",arrived,"[""P04-06""]","[[-26.0, -56.0], [-24, -60], [-16, -58], [-14, -46], [-14, -44], [-14.474450262098099, -44.18670726408049]]",seek familiar home / nearby refuge,walk,Farmstead_South,G012
M0056,109.0,125.17204800656853,116.0,"[-1.060303971744481, 62.82747725798528]",fresh local decision,"[""P08-20""]","[[-5.033559119289219, 52.534300848406644], [-2, 52], [0, 52], [0, 60], [-6, 76], [-12, 78], [-11.658919883259673, 77.38540645297371]]",seek familiar home / nearby refuge,flee,AbandonedCottage,G033
M0057,110.0,129.0012058691504,130.0,"[16.64941801796714, -58.09474685491249]",arrived,"[""P01-05""]","[[60.15067598639805, -62.28675910118936], [16.64941801796714, -58.09474685491249]]",withdraw from witnessed lethal boundary,flee,NorthBarn,G002
M0058,110.0,112.63400445322884,113.0,"[-52.01417023065732, -1.898078684413139]",arrived,"[""P06-13"", ""P06-14""]","[[-48.16561713819992, -1.004158733465303], [-52.01417023065732, -1.898078684413139]]",try nearby forest/field edge; lethal response unknown,flee,,G022
M0059,112.0,124.85812194241548,120.0,"[-4.268635500982635, 73.23167742296954]",fresh local decision,"[""P08-11""]","[[-4.818969789895324, 56.67834696479106], [-8.357889506667886, 61.5360297357218], [-8.357889506667886, 61.5360297357218], [-4, 74], [-8, 78], [-12, 78], [-11.658919883259673, 77.38540645297371]]",leave compromised shelter by another opening,flee,AbandonedCottage,G030
M0060,116.0,156.26369091895606,,,,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10""]","[[-1.8358795366053244, 60.45896988415133], [0, 72], [10, 78], [10, 76], [9.879378573456021, 76.81447353053218]]",seek familiar home / nearby refuge,flee,Cottage_11,G029
M0061,116.0,126.31254929969566,127.0,"[9.879378573456021, 76.81447353053218]",arrived,"[""P08-20""]","[[-1.060303971744481, 62.82747725798528], [0, 72], [10, 78], [10, 76], [9.879378573456021, 76.81447353053218]]",seek familiar home / nearby refuge,flee,Cottage_11,G033
M0062,117.0,132.68554441821817,123.0,"[-43.075684054878195, -0.8476193156580243]",fresh local decision,"[""P06-14""]","[[-52.01417023065732, -1.898078684413139], [-28.646666573688574, 0.8480924969438206]]",withdraw from witnessed lethal boundary,flee,Cottage_04,G022
M0063,120.0,124.47504535136432,125.0,"[-11.658919883259673, 77.38540645297371]",arrived,"[""P08-11""]","[[-4.268635500982635, 73.23167742296954], [-6, 76], [-12, 78], [-11.658919883259673, 77.38540645297371]]",seek familiar home / nearby refuge,flee,AbandonedCottage,G030
M0064,120.0,142.7534365694871,143.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[7.287964464667403, 70.89099528457265], [9.879378573456021, 76.81447353053218], [9.879378573456021, 76.81447353053218], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0065,122.0,168.56607019161888,169.0,"[-36.32562592618182, 97.60879960630098]",arrived,"[""P16-03""]","[[-41.34, 155.6], [-36.32562592618182, 97.60879960630098]]",seek familiar home / nearby refuge,walk,SealedCellarCottage,G078
M0066,123.0,132.68554441821817,129.0,"[-34.13719787909906, 0.20284005309708997]",fresh local decision,"[""P06-14""]","[[-43.075684054878195, -0.8476193156580243], [-28.646666573688574, 0.8480924969438206]]",surviving child retreats toward familiar cover,flee,Cottage_04,G022
M0067,124.0,130.39856205631835,131.0,"[44.80690532143078, 24.887474260390338]",arrived,"[""P06-10""]","[[56.192150997369936, 15.562388427328264], [44.80690532143078, 24.887474260390338]]",withdraw from witnessed lethal boundary,flee,CrookedCottage_YardShed,G020
M0068,124.0,129.9153069130865,130.0,"[44.80690532143078, 24.887474260390338]",arrived,"[""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16""]","[[58.08738460598725, 21.93273272236116], [44.80690532143078, 24.887474260390338]]",withdraw from witnessed lethal boundary,flee,CrookedCottage_YardShed,G031
M0069,127.0,146.76017486882157,147.0,"[8.224309688734474, 86.30572442071198]",arrived,"[""P16-02""]","[[-3.0, 95.0], [0, 100], [6, 98], [8, 86], [8.224309688734474, 86.30572442071198]]",protect / question local civilians,walk,,G077
M0070,129.0,132.68554441821817,133.0,"[-28.646666573688574, 0.8480924969438206]",arrived,"[""P06-14""]","[[-34.13719787909906, 0.20284005309708997], [-28.646666573688574, 0.8480924969438206]]",surviving child retreats toward familiar cover,flee,Cottage_04,G022
M0071,130.0,144.69337654691333,142.0,"[-4.0, 89.50536882658923]",fresh local decision,"[""P08-20""]","[[7.287964464667403, 70.89099528457265], [9.879378573456021, 76.81447353053218], [9.879378573456021, 76.81447353053218], [-4, 84], [-4, 92], [-2, 94], [-2.1778541670832885, 93.14662885351775]]",leave compromised shelter by another opening,flee,Cottage_03,G033
M0072,130.0,166.73924133487688,142.0,"[14.988450494390566, 46.607625757200175]",fresh local decision,"[""P09-02"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[6.28189057712183, 34.47847219638517], [-1.7532251994167067, 38.86719911837331], [-1.7532251994167067, 38.86719911837331], [18, 48], [30, 48], [34, 42], [40, 40], [58, 20], [57.004094688726084, 19.446259871243683]]",try nearby forest/field edge; lethal response unknown,flee,,G084
M0073,130.0,166.73924133487688,142.0,"[14.988450494390566, 46.607625757200175]",fresh local decision,"[""P09-12"", ""P09-13""]","[[6.28189057712183, 34.47847219638517], [-1.7532251994167067, 38.86719911837331], [-1.7532251994167067, 38.86719911837331], [18, 48], [30, 48], [34, 42], [40, 40], [58, 20], [57.004094688726084, 19.446259871243683]]",try nearby forest/field edge; lethal response unknown,flee,,G085
M0074,142.0,151.60603095383362,152.0,"[5.8966096046343, 93.47179334795192]",arrived,"[""P08-20""]","[[-4.0, 89.50536882658923], [0, 100], [6, 98], [6, 94], [5.8966096046343, 93.47179334795192]]",seek familiar home / nearby refuge,flee,Cottage_03_YardShed,G033
M0075,142.0,166.60959907629865,157.0,"[43.9391032269938, 35.62321863667355]",fresh local decision,"[""P09-02"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[14.988450494390566, 46.607625757200175], [30, 48], [34, 42], [40, 40], [58, 20], [57.03364974832392, 19.510652464344698]]",try nearby forest/field edge; lethal response unknown,flee,,G084
M0076,142.0,166.60959907629865,157.0,"[43.9391032269938, 35.62321863667355]",fresh local decision,"[""P09-12"", ""P09-13""]","[[14.988450494390566, 46.607625757200175], [30, 48], [34, 42], [40, 40], [58, 20], [57.03364974832392, 19.510652464344698]]",try nearby forest/field edge; lethal response unknown,flee,,G085
M0077,146.0,146.0,147.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0078,149.0,149.0,150.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0079,150.0,158.8604556582215,159.0,"[6.0, 97.15564090748839]",arrived,"[""P16-02""]","[[8.224309688734474, 86.30572442071198], [6.0, 97.15564090748839]]",protect / question local civilians,walk,,G077
M0080,152.0,152.0,153.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0081,155.0,155.0,156.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0082,157.0,165.6007108716038,165.0,"[59.33246197166744, 25.54331255785617]",fresh local decision,"[""P09-02"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[43.9391032269938, 35.62321863667355], [60.4883317152203, 24.786423912069818]]",try nearby forest/field edge; lethal response unknown,flee,,G084
M0083,157.0,165.6007108716038,165.0,"[59.33246197166744, 25.54331255785617]",fresh local decision,"[""P09-12"", ""P09-13""]","[[43.9391032269938, 35.62321863667355], [60.4883317152203, 24.786423912069818]]",try nearby forest/field edge; lethal response unknown,flee,,G085
M0084,158.0,158.0,159.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0085,161.0,161.0,162.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0086,162.0,182.13144292839698,183.0,"[2.0, 122.0]",arrived,"[""P16-02""]","[[6.0, 97.15564090748839], [2.0, 122.0]]",protect / question local civilians,walk,,G077
M0087,164.0,164.0,165.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0088,165.0,165.6007108716038,166.0,"[60.4883317152203, 24.786423912069818]",arrived,"[""P09-02"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[59.33246197166744, 25.54331255785617], [60.4883317152203, 24.786423912069818]]",try nearby forest/field edge; lethal response unknown,flee,,G084
M0089,165.0,165.6007108716038,166.0,"[60.4883317152203, 24.786423912069818]",arrived,"[""P09-12"", ""P09-13""]","[[59.33246197166744, 25.54331255785617], [60.4883317152203, 24.786423912069818]]",try nearby forest/field edge; lethal response unknown,flee,,G085
M0090,167.0,167.0,168.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0091,170.0,183.21421290103024,,,,"[""P08-17"", ""P08-19""]","[[20.27965221380489, 36.893105540212346], [16.770385365797996, 34.58378412610841], [16.770385365797996, 34.58378412610841], [12, 42], [0, 42], [-2, 38], [-1.7532251994167067, 38.86719911837331]]",leave compromised shelter by another opening,flee,Tavern,G086
M0092,170.0,183.21421290103024,,,,"[""P10-05"", ""P10-06""]","[[20.27965221380489, 36.893105540212346], [16.770385365797996, 34.58378412610841], [16.770385365797996, 34.58378412610841], [12, 42], [0, 42], [-2, 38], [-1.7532251994167067, 38.86719911837331]]",leave compromised shelter by another opening,flee,Tavern,G087
M0093,170.0,170.0,171.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0094,170.0,176.81815303137932,176.0,"[46.688618225406934, 24.875348594037607]",fresh local decision,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[60.4883317152203, 24.786423912069818], [44.80690532143078, 24.887474260390338]]",withdraw from witnessed lethal boundary,flee,CrookedCottage_YardShed,G084
M0095,170.0,176.81815303137932,176.0,"[46.688618225406934, 24.875348594037607]",fresh local decision,"[""P09-12"", ""P09-13""]","[[60.4883317152203, 24.786423912069818], [44.80690532143078, 24.887474260390338]]",withdraw from witnessed lethal boundary,flee,CrookedCottage_YardShed,G085
M0096,173.0,173.0,174.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0097,176.0,176.0,177.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0098,176.0,176.81815303137932,177.0,"[44.80690532143078, 24.887474260390338]",arrived,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[46.688618225406934, 24.875348594037607], [44.80690532143078, 24.887474260390338]]",seek familiar home / nearby refuge,flee,CrookedCottage_YardShed,G084
M0099,176.0,176.81815303137932,177.0,"[44.80690532143078, 24.887474260390338]",arrived,"[""P09-13""]","[[46.688618225406934, 24.875348594037607], [44.80690532143078, 24.887474260390338]]",seek familiar home / nearby refuge,flee,CrookedCottage_YardShed,G085
M0100,179.0,179.0,180.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0101,180.0,185.13433813298994,186.0,"[37.812054387116426, 22.209956351709014]",arrived,"[""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16""]","[[40.93139718561748, 25.474449905110394], [44.80690532143078, 24.887474260390338], [44.80690532143078, 24.887474260390338], [40, 22], [38, 22], [37.812054387116426, 22.209956351709014]]",leave compromised shelter by another opening,flee,OldQuarterSharedShed,G031
M0102,181.0,186.13433813298994,187.0,"[37.812054387116426, 22.209956351709014]",arrived,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07""]","[[40.93139718561748, 25.474449905110394], [44.80690532143078, 24.887474260390338], [44.80690532143078, 24.887474260390338], [40, 22], [38, 22], [37.812054387116426, 22.209956351709014]]",leave compromised shelter by another opening,flee,OldQuarterSharedShed,G084
M0103,181.0,186.13433813298994,187.0,"[37.812054387116426, 22.209956351709014]",arrived,"[""P09-13""]","[[40.93139718561748, 25.474449905110394], [44.80690532143078, 24.887474260390338], [44.80690532143078, 24.887474260390338], [40, 22], [38, 22], [37.812054387116426, 22.209956351709014]]",leave compromised shelter by another opening,flee,OldQuarterSharedShed,G085
M0104,182.0,182.0,183.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
M0105,185.0,185.0,186.0,"[2.0, 122.0]",arrived,"[""P12-09""]","[[2.0, 122.0], [2.0, 122.0]]",seek estate guards / authority,flee,,G083
