id,person,t,type,xy,intention,attacker,cause,exposure,witnesses,knowledge_change,blood_units,source_history
K013,P08-22,96.0,death,"[7, 46]",junction goods and passing group,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-23"", ""P08-24"", ""P08-25"", ""P08-26"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P10-23"", ""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K014,P08-23,96.0,death,"[7, 46]",junction goods and passing group,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-24"", ""P08-25"", ""P08-26"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P10-23"", ""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K015,P08-24,96.0,death,"[7, 46]",junction goods and passing group,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-25"", ""P08-26"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P10-23"", ""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K016,P08-25,96.0,death,"[7, 46]",junction goods and passing group,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-26"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P10-23"", ""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K017,P08-26,96.0,death,"[7, 46]",junction goods and passing group,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P10-23"", ""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K018,P09-08,96.0,injury,"[3.9, 42.0]",seek familiar home / nearby refuge,Blood,edge of pressure strike,partial cover / corridor margin,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-09"", ""P09-10"", ""P09-11""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.22,False
K019,P09-09,96.0,injury,"[3.9, 42.0]",seek familiar home / nearby refuge,Blood,edge of pressure strike,partial cover / corridor margin,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-08"", ""P09-10"", ""P09-11""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.22,False
K020,P09-10,96.0,injury,"[3.9, 42.0]",seek familiar home / nearby refuge,Blood,edge of pressure strike,partial cover / corridor margin,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-08"", ""P09-09"", ""P09-11""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.22,False
K021,P09-11,96.0,injury,"[3.9, 42.0]",seek familiar home / nearby refuge,Blood,edge of pressure strike,partial cover / corridor margin,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-08"", ""P09-09"", ""P09-10""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.22,False
K022,P01-04,108.0,death,"[60.15067598639805, -62.28675910118936]",try nearby forest/field edge; lethal response unknown,Barrier,contact-reactive boundary strike,deliberate physical push / crossing test,"[""P01-05""]",Only listed direct witnesses receive Barrier event knowledge; subsequent warnings are separate.,1,False
K023,P09-08,113.0,death,"[-1.2606375620495047, 40.153235738435335]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-20"", ""P09-09"", ""P09-10"", ""P09-11""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K024,P09-09,113.0,death,"[-1.2606375620495047, 40.153235738435335]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-20"", ""P09-10"", ""P09-11""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K025,P09-10,113.0,death,"[-1.2606375620495047, 40.153235738435335]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-20"", ""P09-11""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K026,P09-11,113.0,death,"[-1.2606375620495047, 40.153235738435335]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-20""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K027,P06-13,115.0,death,"[-52.01417023065732, -1.898078684413139]",try nearby forest/field edge; lethal response unknown,Barrier,contact-reactive boundary strike,deliberate physical push / crossing test,"[""P06-14""]",Only listed direct witnesses receive Barrier event knowledge; subsequent warnings are separate.,1,False
K028,P06-09,122.0,death,"[56.192150997369936, 15.562388427328264]",try nearby forest/field edge; lethal response unknown,Barrier,contact-reactive boundary strike,deliberate physical push / crossing test,"[""P06-10"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16""]",Only listed direct witnesses receive Barrier event knowledge; subsequent warnings are separate.,1,False
K029,P08-07,125.0,death,"[-0.9168509442024593, 66.2363297003949]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-08"", ""P08-09"", ""P08-10""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K030,P08-08,125.0,death,"[-0.9168509442024593, 66.2363297003949]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-09"", ""P08-10""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K031,P08-09,125.0,death,"[-0.9168509442024593, 66.2363297003949]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-10""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K032,P08-10,125.0,death,"[-0.9168509442024593, 66.2363297003949]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K033,P09-01,163.0,death,"[4.526644871280759, 35.43717575438758]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-06"", ""P09-14""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K034,P09-06,163.0,death,"[4.526644871280759, 35.43717575438758]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-14""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K035,P09-14,163.0,death,"[4.526644871280759, 35.43717575438758]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K036,P09-02,168.0,death,"[60.4883317152203, 24.786423912069818]",try nearby forest/field edge; lethal response unknown,Barrier,contact-reactive boundary strike,deliberate physical push / crossing test,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-12"", ""P09-13""]",Only listed direct witnesses receive Barrier event knowledge; subsequent warnings are separate.,1,False
K037,P09-12,173.0,death,"[53.58847497031361, 24.830886253053713]",withdraw from witnessed lethal boundary,Bone,precise strike following the civilian's response,acquired exposed person,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Bone event knowledge; subsequent warnings are separate.,1,False
K038,P08-17,175.0,death,"[12.821714332670268, 40.722532791282354]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-19"", ""P10-05"", ""P10-06""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K039,P08-18,175.0,death,"[18.60894773871197, 35.79367543470109]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P10-04""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K040,P08-19,175.0,death,"[12.821714332670268, 40.722532791282354]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P10-05"", ""P10-06""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K041,P10-04,175.0,death,"[18.60894773871197, 35.79367543470109]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K042,P10-05,175.0,death,"[12.821714332670268, 40.722532791282354]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P10-06""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K043,P10-06,175.0,death,"[12.821714332670268, 40.722532791282354]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K044,P12-09,223.0,injury,"[2.0, 122.0]",seek estate guards / authority,Bone,precise attack on a person the entrance guard is trying to protect,local protective gesture exploited,"[""P16-02""]",Only listed direct witnesses receive Bone event knowledge; subsequent warnings are separate.,0.22,False
K045,P10-13,243.0,injury,"[24.241767575820433, 47.768416751351054]",leave compromised shelter by another opening,Blood,edge of pressure strike,partial cover / corridor margin,"[""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.22,False
K046,P12-09,243.0,death,"[2.0, 122.0]",seek estate guards / authority,Bone,precise attack on a person the entrance guard is trying to protect,local protective gesture exploited,"[""P16-02""]",Only listed direct witnesses receive Bone event knowledge; subsequent warnings are separate.,0.78,False
K047,P16-02,254.0,death,"[6.0, 132.0]",retreat uphill while keeping Bone in sight,Bone,deliberate precise final strike after personal torment,recognised guard within acquired line,[],Only listed direct witnesses receive Bone event knowledge; subsequent warnings are separate.,1,False
K048,P10-13,255.0,death,"[12.705234193207218, 44.39854271402517]",seek familiar home / nearby refuge,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,0.78,False
K049,P10-24,262.0,death,"[60.831939398436994, 25.3111585964828]",try nearby forest/field edge; lethal response unknown,Barrier,contact-reactive boundary strike,deliberate physical push / crossing test,[],Only listed direct witnesses receive Barrier event knowledge; subsequent warnings are separate.,1,False
K050,P10-14,308.0,death,"[27.197359775053993, 44.31520623759094]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P10-23""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K051,P10-23,308.0,death,"[27.197359775053993, 44.31520623759094]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K052,P10-07,320.0,death,"[22.515712837641743, 24.44920801238806]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P10-08""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K053,P10-08,320.0,death,"[22.515712837641743, 24.44920801238806]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K054,P10-09,320.0,death,"[20.928531116278343, 28.196398337208755]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P10-22""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K055,P10-22,320.0,death,"[20.928531116278343, 28.196398337208755]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K056,P08-12,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K057,P08-13,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-14"", ""P08-15"", ""P08-16"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K058,P08-14,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-15"", ""P08-16"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K059,P08-15,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-16"", ""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K060,P08-16,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-03"", ""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K061,P09-03,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-04"", ""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K062,P09-04,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-05"", ""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K063,P09-05,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-07"", ""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K064,P09-07,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P09-13""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K065,P09-13,344.0,death,"[39.01681640776172, 22.149557420606826]",leave compromised shelter by another opening,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K066,P10-15,361.0,death,"[38.786028025452964, 31.41651036497864]",remain silent deeper in compromised shelter,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,[],Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
K067,P16-01,373.923,death,"[1.70175531794579, 145.99999999999994]",remain with household guard in hall; seeking reports,Witch,personal final killing after sixty-second confrontation,secured Mayor; cinematic method reserved,[],Only listed direct witnesses receive Witch event knowledge; subsequent warnings are separate.,1,False
