t,person,field,old,new,source,mode
96.0,P08-23,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-24,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-25,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-26,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P09-08,Blood,direct: civic strike,direct: pressure strike at physical concentration,K012,direct
96.0,P09-09,Blood,direct: civic strike,direct: pressure strike at physical concentration,K012,direct
96.0,P09-10,Blood,direct: civic strike,direct: pressure strike at physical concentration,K012,direct
96.0,P09-11,Blood,direct: civic strike,direct: pressure strike at physical concentration,K012,direct
96.0,P10-23,Blood,unknown,direct: pressure strike at physical concentration,K012,direct
96.0,P10-24,Blood,unknown,direct: pressure strike at physical concentration,K012,direct
96.0,P08-07,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-08,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-09,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-10,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-11,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-12,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-13,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-14,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-15,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P08-16,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P09-09,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P09-10,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P09-11,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K018,direct
96.0,P09-08,Blood,direct: pressure strike at physical concentration,direct: edge of pressure strike,K019,direct
96.0,P06-01,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P06-02,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P06-08,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P06-09,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P06-10,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P06-13,Blood,unknown,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P06-14,Blood,unknown,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-01,Blood,heard: public strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-02,Blood,heard: public strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-07,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-08,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-09,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-10,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-11,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-12,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-13,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-14,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-15,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-16,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-17,Blood,heard: crash behind,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P08-18,Blood,heard: crash behind,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P08-19,Blood,heard: crash behind,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P08-20,Blood,direct: first public strike,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-01,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-02,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-03,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-04,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-05,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-06,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-07,Blood,report: porch reports violence; identities unclear,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-08,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P09-09,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P09-10,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P09-11,Blood,direct: edge of pressure strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P09-12,Blood,heard: civic crash,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-13,Blood,heard: civic crash,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P09-14,Blood,heard: civic crash,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-04,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-05,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-06,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-07,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-08,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-09,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-13,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-14,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-15,Blood,heard: civic crash,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-16,Blood,heard: civic crash,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P10-17,Blood,heard: civic crash,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P10-18,Blood,heard: civic crash,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P10-19,Blood,heard: civic crash,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P10-20,Blood,heard: civic crash,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P10-21,Blood,heard: civic crash,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P10-23,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P10-24,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P11-01,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-02,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-09,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-10,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-13,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-14,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-15,Blood,heard: civic strike,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P11-16,Blood,heard: civic strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P11-20,Blood,heard: civic strike,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P12-01,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P12-02,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P12-09,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P12-10,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0015,heard
96.0,P13-01,Blood,heard: destructive crash; visible lower disturbance,direct: Deliberate pressure strike toward the perceived concentration.,E0015,direct
96.0,P08-12,barrier,0,1,visible perimeter on chosen route,direct
96.0,P08-13,barrier,0,1,visible perimeter on chosen route,direct
96.0,P08-14,barrier,0,1,visible perimeter on chosen route,direct
96.0,P08-15,barrier,0,1,visible perimeter on chosen route,direct
96.0,P08-16,barrier,0,1,visible perimeter on chosen route,direct
97.0,P06-13,shelter,direct: Bone deliberate near-hit,direct: Bone cut off cover,E0021,direct
97.0,P06-14,shelter,direct: Bone deliberate near-hit,direct: Bone cut off cover,E0021,direct
97.0,P06-05,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,heard
97.0,P06-06,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,heard
97.0,P06-07,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,heard
97.0,P06-13,Bone,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,direct
97.0,P06-14,Bone,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,direct
97.0,P07-01,Bone,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,heard
97.0,P07-02,Bone,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,heard
97.0,P07-04,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",E0021,heard
99.0,P06-09,barrier,0,1,visible perimeter on chosen route,direct
99.0,P06-10,barrier,0,1,visible perimeter on chosen route,direct
99.0,P06-13,barrier,0,1,visible perimeter on chosen route,direct
99.0,P06-14,barrier,0,1,visible perimeter on chosen route,direct
100.0,P01-01,bell,,heard: public emergency,E0027,heard
100.0,P01-02,bell,,heard: public emergency,E0027,heard
100.0,P01-03,bell,,heard: public emergency,E0027,heard
100.0,P01-04,bell,,heard: public emergency,E0027,heard
100.0,P01-05,bell,,heard: public emergency,E0027,heard
100.0,P01-06,bell,,heard: public emergency,E0027,heard
100.0,P02-01,bell,,heard: public emergency,E0027,heard
100.0,P02-02,bell,,heard: public emergency,E0027,heard
100.0,P02-03,bell,,heard: public emergency,E0027,heard
100.0,P02-04,bell,,heard: public emergency,E0027,heard
100.0,P02-05,bell,,heard: public emergency,E0027,heard
100.0,P02-06,bell,,heard: public emergency,E0027,heard
100.0,P03-01,bell,,heard: public emergency,E0027,heard
100.0,P03-02,bell,,heard: public emergency,E0027,heard
100.0,P03-03,bell,,heard: public emergency,E0027,heard
100.0,P03-04,bell,,heard: public emergency,E0027,heard
100.0,P03-05,bell,,heard: public emergency,E0027,heard
100.0,P03-06,bell,,heard: public emergency,E0027,heard
100.0,P03-07,bell,,heard: public emergency,E0027,heard
100.0,P04-01,bell,,heard: public emergency,E0027,heard
100.0,P04-02,bell,,heard: public emergency,E0027,heard
100.0,P04-03,bell,,heard: public emergency,E0027,heard
100.0,P04-04,bell,,heard: public emergency,E0027,heard
100.0,P04-05,bell,,heard: public emergency,E0027,heard
100.0,P04-06,bell,,heard: public emergency,E0027,heard
100.0,P05-03,bell,,heard: public emergency,E0027,heard
100.0,P05-04,bell,,heard: public emergency,E0027,heard
100.0,P05-05,bell,,heard: public emergency,E0027,heard
100.0,P05-06,bell,,heard: public emergency,E0027,heard
100.0,P06-01,bell,,heard: public emergency,E0027,heard
100.0,P06-02,bell,,heard: public emergency,E0027,heard
100.0,P06-03,bell,,heard: public emergency,E0027,heard
100.0,P06-04,bell,,heard: public emergency,E0027,heard
100.0,P06-05,bell,,heard: public emergency,E0027,heard
100.0,P06-06,bell,,heard: public emergency,E0027,heard
100.0,P06-07,bell,,heard: public emergency,E0027,heard
100.0,P06-08,bell,,heard: public emergency,E0027,heard
100.0,P06-09,bell,,heard: public emergency,E0027,heard
100.0,P06-10,bell,,heard: public emergency,E0027,heard
100.0,P06-11,bell,,heard: public emergency,E0027,heard
100.0,P06-12,bell,,heard: public emergency,E0027,heard
100.0,P06-13,bell,,heard: public emergency,E0027,heard
100.0,P06-14,bell,,heard: public emergency,E0027,heard
100.0,P07-01,bell,,heard: public emergency,E0027,heard
100.0,P07-02,bell,,heard: public emergency,E0027,heard
100.0,P07-04,bell,,heard: public emergency,E0027,heard
100.0,P08-01,bell,,heard: public emergency,E0027,heard
100.0,P08-02,bell,,heard: public emergency,E0027,heard
100.0,P08-07,bell,,heard: public emergency,E0027,heard
100.0,P08-08,bell,,heard: public emergency,E0027,heard
100.0,P08-09,bell,,heard: public emergency,E0027,heard
100.0,P08-10,bell,,heard: public emergency,E0027,heard
100.0,P08-11,bell,,heard: public emergency,E0027,heard
100.0,P08-12,bell,,heard: public emergency,E0027,heard
100.0,P08-13,bell,,heard: public emergency,E0027,heard
100.0,P08-14,bell,,heard: public emergency,E0027,heard
100.0,P08-15,bell,,heard: public emergency,E0027,heard
100.0,P08-16,bell,,heard: public emergency,E0027,heard
100.0,P08-17,bell,,heard: public emergency,E0027,heard
100.0,P08-18,bell,,heard: public emergency,E0027,heard
100.0,P08-19,bell,,heard: public emergency,E0027,heard
100.0,P08-20,bell,,heard: public emergency,E0027,heard
100.0,P09-01,bell,,heard: public emergency,E0027,heard
100.0,P09-02,bell,,heard: public emergency,E0027,heard
100.0,P09-03,bell,,heard: public emergency,E0027,heard
100.0,P09-04,bell,,heard: public emergency,E0027,heard
100.0,P09-05,bell,,heard: public emergency,E0027,heard
100.0,P09-06,bell,,heard: public emergency,E0027,heard
100.0,P09-07,bell,,heard: public emergency,E0027,heard
100.0,P09-08,bell,,heard: public emergency,E0027,heard
100.0,P09-09,bell,,heard: public emergency,E0027,heard
100.0,P09-10,bell,,heard: public emergency,E0027,heard
100.0,P09-11,bell,,heard: public emergency,E0027,heard
100.0,P09-12,bell,,heard: public emergency,E0027,heard
100.0,P09-13,bell,,heard: public emergency,E0027,heard
100.0,P09-14,bell,,heard: public emergency,E0027,heard
100.0,P10-01,bell,,heard: public emergency,E0027,heard
100.0,P10-02,bell,,heard: public emergency,E0027,heard
100.0,P10-03,bell,,heard: public emergency,E0027,heard
100.0,P10-04,bell,,heard: public emergency,E0027,heard
100.0,P10-05,bell,,heard: public emergency,E0027,heard
100.0,P10-06,bell,,heard: public emergency,E0027,heard
100.0,P10-07,bell,,heard: public emergency,E0027,heard
100.0,P10-08,bell,,heard: public emergency,E0027,heard
100.0,P10-09,bell,,heard: public emergency,E0027,heard
100.0,P10-10,bell,,heard: public emergency,E0027,heard
100.0,P10-11,bell,,heard: public emergency,E0027,heard
100.0,P10-12,bell,,heard: public emergency,E0027,heard
100.0,P10-13,bell,,heard: public emergency,E0027,heard
100.0,P10-14,bell,,heard: public emergency,E0027,heard
100.0,P10-15,bell,,heard: public emergency,E0027,heard
100.0,P10-16,bell,,heard: public emergency,E0027,heard
100.0,P10-17,bell,,heard: public emergency,E0027,heard
100.0,P10-18,bell,,heard: public emergency,E0027,heard
100.0,P10-19,bell,,heard: public emergency,E0027,heard
100.0,P10-20,bell,,heard: public emergency,E0027,heard
100.0,P10-21,bell,,heard: public emergency,E0027,heard
100.0,P10-22,bell,,heard: public emergency,E0027,heard
100.0,P10-23,bell,,heard: public emergency,E0027,heard
100.0,P10-24,bell,,heard: public emergency,E0027,heard
100.0,P11-01,bell,,heard: public emergency,E0027,heard
100.0,P11-02,bell,,heard: public emergency,E0027,heard
100.0,P11-03,bell,,heard: public emergency,E0027,heard
100.0,P11-04,bell,,heard: public emergency,E0027,heard
100.0,P11-05,bell,,heard: public emergency,E0027,heard
100.0,P11-06,bell,,heard: public emergency,E0027,heard
100.0,P11-07,bell,,heard: public emergency,E0027,heard
100.0,P11-08,bell,,heard: public emergency,E0027,heard
100.0,P11-09,bell,,heard: public emergency,E0027,heard
100.0,P11-10,bell,,heard: public emergency,E0027,heard
100.0,P11-11,bell,,heard: public emergency,E0027,heard
100.0,P11-12,bell,,heard: public emergency,E0027,heard
100.0,P11-13,bell,,heard: public emergency,E0027,heard
100.0,P11-14,bell,,heard: public emergency,E0027,heard
100.0,P11-15,bell,,heard: public emergency,E0027,heard
100.0,P11-16,bell,,heard: public emergency,E0027,heard
100.0,P11-17,bell,,heard: public emergency,E0027,heard
100.0,P11-18,bell,,heard: public emergency,E0027,heard
100.0,P11-19,bell,,heard: public emergency,E0027,heard
100.0,P11-20,bell,,heard: public emergency,E0027,heard
100.0,P11-21,bell,,heard: public emergency,E0027,heard
100.0,P11-22,bell,,heard: public emergency,E0027,heard
100.0,P12-01,bell,,heard: public emergency,E0027,heard
100.0,P12-02,bell,,heard: public emergency,E0027,heard
100.0,P12-03,bell,,heard: public emergency,E0027,heard
100.0,P12-04,bell,,heard: public emergency,E0027,heard
100.0,P12-05,bell,,heard: public emergency,E0027,heard
100.0,P12-06,bell,,heard: public emergency,E0027,heard
100.0,P12-07,bell,,heard: public emergency,E0027,heard
100.0,P12-08,bell,,heard: public emergency,E0027,heard
100.0,P12-09,bell,,heard: public emergency,E0027,heard
100.0,P12-10,bell,,heard: public emergency,E0027,heard
100.0,P12-11,bell,,heard: public emergency,E0027,heard
100.0,P12-12,bell,,heard: public emergency,E0027,heard
100.0,P12-13,bell,,heard: public emergency,E0027,heard
100.0,P12-14,bell,,heard: public emergency,E0027,heard
100.0,P13-01,bell,,heard: public emergency,E0027,heard
100.0,P14-01,bell,,heard: public emergency,E0027,heard
100.0,P14-02,bell,,heard: public emergency,E0027,heard
100.0,P14-03,bell,,heard: public emergency,E0027,heard
100.0,P14-04,bell,,heard: public emergency,E0027,heard
100.0,P14-05,bell,,heard: public emergency,E0027,heard
100.0,P14-06,bell,,heard: public emergency,E0027,heard
100.0,P14-07,bell,,heard: public emergency,E0027,heard
100.0,P15-01,bell,,heard: public emergency,E0027,heard
100.0,P15-02,bell,,heard: public emergency,E0027,heard
100.0,P15-03,bell,,heard: public emergency,E0027,heard
100.0,P16-01,bell,,heard: public emergency,E0027,heard
100.0,P16-02,bell,,heard: public emergency,E0027,heard
100.0,P16-03,bell,,heard: public emergency,E0027,heard
100.0,P16-04,bell,,heard: public emergency,E0027,heard
100.0,P16-05,bell,,heard: public emergency,E0027,heard
100.0,P16-06,bell,,heard: public emergency,E0027,heard
100.0,P16-07,bell,,heard: public emergency,E0027,heard
100.0,P16-08,bell,,heard: public emergency,E0027,heard
100.0,P17-01,bell,,heard: public emergency,E0027,heard
100.0,P17-02,bell,,heard: public emergency,E0027,heard
101.0,P06-13,shelter,direct: Bone cut off cover,direct: Bone deliberate near-hit,E0030,direct
101.0,P06-14,shelter,direct: Bone cut off cover,direct: Bone deliberate near-hit,E0030,direct
101.0,P06-05,Bone,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0030,heard
101.0,P06-06,Bone,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0030,heard
101.0,P06-07,Bone,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0030,heard
101.0,P06-13,Bone,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0030,direct
101.0,P06-14,Bone,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0030,direct
101.0,P07-04,Bone,"heard: Cuts off the nearer cover with another exact object strike, then allows flight.",direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0030,direct
104.0,P11-03,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P11-16,report
104.0,P11-04,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P11-16,report
107.0,P06-13,shelter,direct: Bone deliberate near-hit,direct: Bone cut off cover,E0046,direct
107.0,P06-14,shelter,direct: Bone deliberate near-hit,direct: Bone cut off cover,E0046,direct
107.0,P06-13,Bone,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",E0046,direct
107.0,P06-14,Bone,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",E0046,direct
108.0,P01-05,barrier,1,4,K022,direct
109.0,P08-11,shelter,,direct: blood_stream,S001-entry,direct
112.0,P06-13,shelter,direct: Bone cut off cover,direct: Bone deliberate near-hit,E0053,direct
112.0,P06-14,shelter,direct: Bone cut off cover,direct: Bone deliberate near-hit,E0053,direct
112.0,P06-13,Bone,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0053,direct
112.0,P06-14,Bone,"direct: Cuts off the nearer cover with another exact object strike, then allows flight.",direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0053,direct
112.0,P06-08,Bone,unknown,report: assistant killed,warning from P08-01,report
112.0,P10-10,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P10-17,report
112.0,P10-11,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P10-17,report
112.0,P10-12,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P10-17,report
112.0,P11-21,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P11-16,report
112.0,P11-22,Blood,unknown,report: Deliberate pressure strike toward the perceived concentration.,warning from P11-16,report
113.0,P08-07,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P08-08,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P08-09,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P08-10,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P08-20,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P09-09,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P09-10,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P09-11,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K023,direct
113.0,P06-11,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0054,heard
113.0,P06-12,Blood,unknown,heard: Deliberate pressure strike toward the perceived concentration.,E0054,heard
113.0,P08-01,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0054,heard
113.0,P08-02,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0054,heard
113.0,P08-07,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0054,direct
113.0,P08-08,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0054,direct
113.0,P08-09,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0054,direct
113.0,P08-10,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0054,direct
113.0,P08-11,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0054,heard
113.0,P08-20,Blood,direct: pressure strike at physical concentration,direct: Deliberate pressure strike toward the perceived concentration.,E0054,direct
