id,origin,micro,role,xy,shelter,injured,intention,personality,knowledge,carried_goods,reason
P03-04,P03,,barn and agricultural yard activity,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""report: approach violence"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P03-05,P03,,barn and agricultural yard activity,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,shelter and listen,kin-first,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""report: approach violence"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P03-06,P03,,barn and agricultural yard activity,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,shelter and listen,cautious,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""report: approach violence"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P03-07,P03,,barn and agricultural yard activity,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""report: approach violence"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P04-01,P04,,household preparing evening food / domestic work,"[-20.004663250524004, -42.889977263076325]",Farmstead_South,False,household preparing evening food / domestic work,cautious,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P04-02,P04,,household preparing evening food / domestic work,"[-20.004663250524004, -42.889977263076325]",Farmstead_South,False,household preparing evening food / domestic work,cautious,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P04-03,P04,,household preparing evening food / domestic work,"[-20.004663250524004, -42.889977263076325]",Farmstead_South,False,household preparing evening food / domestic work,kin-first,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P04-04,P04,M03,barn storage pair,"[-20.004663250524004, -42.889977263076325]",Farmstead_South,False,shelter and listen,escape-minded,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P04-05,P04,M03,barn storage pair,"[-20.004663250524004, -42.889977263076325]",Farmstead_South,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P04-06,P04,,yard goods worker,"[-20.004663250524004, -42.889977263076325]",Farmstead_South,False,shelter and listen,opportunist,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",stolen portable goods / monopolised supplies,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P05-03,P05,,recoiled returning workers,"[-11.000000000000002, -3.0]",WitchHome,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""direct: first two quiet killings"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P05-04,P05,,recoiled returning workers,"[-11.000000000000002, -3.0]",WitchHome,False,shelter and listen,cautious,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""direct: first two quiet killings"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P05-05,P05,,recoiled returning workers,"[-11.000000000000002, -3.0]",WitchHome,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""direct: first two quiet killings"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P05-06,P05,,recoiled returning workers,"[-11.000000000000002, -3.0]",WitchHome,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""direct: first two quiet killings"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-01,P06,,household preparing evening food / domestic work,"[2.803019047486295, 21.220845540683065]",NeedleHouse,False,household preparing evening food / domestic work,practical,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-02,P06,,household preparing evening food / domestic work,"[2.803019047486295, 21.220845540683065]",NeedleHouse,False,household preparing evening food / domestic work,cautious,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-03,P06,,household preparing evening food / domestic work,"[15.453649110207552, 13.178053791298524]",CollapsedCellarCottage,False,household preparing evening food / domestic work,authority-seeking,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-04,P06,,household preparing evening food / domestic work,"[15.453649110207552, 13.178053791298524]",CollapsedCellarCottage,False,household preparing evening food / domestic work,practical,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-05,P06,,household preparing evening food / domestic work,"[-27.418755248485926, 5.268819614788562]",Cottage_04,False,household preparing evening food / domestic work,cautious,"{""emergency"": true, ""Blood"": ""report: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for "", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident. The surviving M05 child reached familiar cover after witnessing the parent's boundary death; Bone pressured the encounter but did not complete a human strike on the child.
P06-06,P06,,household preparing evening food / domestic work,"[-27.418755248485926, 5.268819614788562]",Cottage_04,False,household preparing evening food / domestic work,cautious,"{""emergency"": true, ""Blood"": ""report: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for "", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident. The surviving M05 child reached familiar cover after witnessing the parent's boundary death; Bone pressured the encounter but did not complete a human strike on the child.
P06-07,P06,,household preparing evening food / domestic work,"[-27.418755248485926, 5.268819614788562]",Cottage_04,False,household preparing evening food / domestic work,authority-seeking,"{""emergency"": true, ""Blood"": ""report: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for "", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident. The surviving M05 child reached familiar cover after witnessing the parent's boundary death; Bone pressured the encounter but did not complete a human strike on the child.
P06-08,P06,,household preparing evening food / domestic work,"[-9.624845430574828, 26.772424530943187]",Cottage_09,False,household preparing evening food / domestic work,escape-minded,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""report: assistant killed"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-10,P06,,lower household yard work,"[42.90884501063037, 25.174950156610027]",CrookedCottage_YardShed,False,remain silent deeper in compromised shelter,kin-first,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Cuts off the nearer cover with another exact object strike, then allows flight."", ""barrier"": 4, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency"", ""shelter"": ""direct: Bone precision strike at refuge""}",,A physical search was assigned but had not reached the threshold by withdrawal/closure. No completed detection or lethal corridor reached these occupants.
P06-11,P06,,lower household garden work,"[15.453649110207552, 13.178053791298524]",CollapsedCellarCottage,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-12,P06,,lower household garden work,"[15.453649110207552, 13.178053791298524]",CollapsedCellarCottage,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P06-14,P06,M05,child at coop,"[-27.418755248485926, 5.268819614788562]",Cottage_04,False,shelter and listen,escape-minded,"{""emergency"": true, ""Blood"": ""direct: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for "", ""barrier"": 4, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""shelter"": ""direct: Bone deliberate near-hit"", ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident. The surviving M05 child reached familiar cover after witnessing the parent's boundary death; Bone pressured the encounter but did not complete a human strike on the child.
P07-01,P07,M07,smith and apprentice finishing cart wheel,"[-34.43788572681491, 18.562125696674876]",Blacksmith,False,shelter and listen,kin-first,"{""emergency"": true, ""Blood"": ""heard: large violent crash"", ""Bone"": ""heard: Cuts off the nearer cover with another exact object strike, then allows flight."", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P07-02,P07,M07,smith and apprentice finishing cart wheel,"[-34.43788572681491, 18.562125696674876]",Blacksmith,False,shelter and listen,cautious,"{""emergency"": true, ""Blood"": ""heard: large violent crash"", ""Bone"": ""heard: Cuts off the nearer cover with another exact object strike, then allows flight."", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P07-04,P07,,forge customer,"[-34.43788572681491, 18.562125696674876]",Blacksmith,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""heard: large violent crash"", ""Bone"": ""direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for "", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P08-01,P08,M04,water pair at road edge,"[-9.624845430574828, 26.772424530943187]",Cottage_09,False,shelter and listen,cautious,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""direct: assistant killed"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""direct: calm neighbour ignores plea; responsibility unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P08-02,P08,M04,water pair at road edge,"[-9.624845430574828, 26.772424530943187]",Cottage_09,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""direct: assistant killed"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""direct: calm neighbour ignores plea; responsibility unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P08-11,P08,,warning frontage neighbour,"[-11.770161950686402, 71.75979490611692]",AbandonedCottage,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency"", ""shelter"": ""direct: blood_stream""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P08-20,P08,,goods porter,"[2.3695414283676928, 95.73557443669856]",Cottage_03_YardShed,False,shelter and listen,opportunist,"{""emergency"": true, ""Blood"": ""direct: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency"", ""shelter"": ""direct: blood_stream""}",stolen portable goods / monopolised supplies,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P10-01,P10,,household preparing evening food / domestic work,"[40.93139718561748, 25.474449905110394]",CrookedCottage_YardShed,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Cuts off the nearer cover with another exact object strike, then allows flight."", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency"", ""shelter"": ""direct: blood_stream""}",,A physical search was assigned but had not reached the threshold by withdrawal/closure. No completed detection or lethal corridor reached these occupants.
P10-02,P10,,household preparing evening food / domestic work,"[40.93139718561748, 25.474449905110394]",CrookedCottage_YardShed,False,shelter and listen,escape-minded,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Cuts off the nearer cover with another exact object strike, then allows flight."", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency"", ""shelter"": ""direct: blood_stream""}",,A physical search was assigned but had not reached the threshold by withdrawal/closure. No completed detection or lethal corridor reached these occupants.
P10-03,P10,,household preparing evening food / domestic work,"[40.93139718561748, 25.474449905110394]",CrookedCottage_YardShed,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Cuts off the nearer cover with another exact object strike, then allows flight."", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency"", ""shelter"": ""direct: blood_stream""}",,A physical search was assigned but had not reached the threshold by withdrawal/closure. No completed detection or lethal corridor reached these occupants.
P10-10,P10,,household preparing evening food / domestic work,"[37.80250029662195, 46.73107441796052]",Cottage_07,False,household preparing evening food / domestic work,escape-minded,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a "", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P10-11,P10,,household preparing evening food / domestic work,"[37.80250029662195, 46.73107441796052]",Cottage_07,False,household preparing evening food / domestic work,escape-minded,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a "", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P10-12,P10,,household preparing evening food / domestic work,"[37.80250029662195, 46.73107441796052]",Cottage_07,False,household preparing evening food / domestic work,kin-first,"{""emergency"": true, ""Blood"": ""heard: Deliberate pressure strike toward the perceived concentration."", ""Bone"": ""heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a "", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
