person,t,killer,xy,pre90,intention,event,bone_contributing,bone_direct_or_chain,bone_movement_chain,injury,exposure,witness_groups,witness_people,local_knowledge,blood_units,contributing_causes,recorded_prior_intention,review_annotation
P08-14,98,Blood,"[3.0, 50.8]",False,Neighbours reach already-visible injured stall users to lift them,E044,False,False,[],False,Exposed corridor,"[""centre-goods"", ""centre-neighbours""]","[""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P08-15,98,Blood,"[3.0, 50.8]",False,Neighbours reach already-visible injured stall users to lift them,E044,False,False,[],False,Exposed corridor,"[""centre-goods"", ""centre-neighbours""]","[""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P08-16,98,Blood,"[3.0, 50.8]",False,Neighbours reach already-visible injured stall users to lift them,E044,False,False,[],False,Exposed corridor,"[""centre-goods"", ""centre-neighbours""]","[""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P06-13,102,Bone,"[-32.552, 3.671]",False,Wounded parent pulls child toward the household door,E051,True,True,"[{""t"": 94, ""cause"": ""Bone E-M05-injury"", ""destination"": ""Cottage_04""}]",False,Local intended precise strike during Wounded parent pulls child toward the household door,"[""parent-child""]","[""P06-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""Bone E-M05-injury""]",,
P07-02,108,Bone,"[-36.4084, 10.8437]",False,Smith tries to pull apprentice away from blocked rescue route,E066,True,True,"[{""t"": 106, ""cause"": ""Bone forge route denial"", ""destination"": [-40, 8]}]",False,Local intended precise strike during Smith tries to pull apprentice away from blocked rescue route,"[""smith-pair""]","[""P07-01""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E062"", ""Bone forge route denial""]",,
P09-04,110,Blood,"[6.2819, 34.4785]",False,"Four occupants stay silent behind surviving interior partitions, believing outside is more dangerous",E069,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""tavern-service-runners"", ""tavern-delivery"", ""tavern-inside""]","[""P09-01"", ""P09-02"", ""P09-03"", ""P09-05"", ""P09-06"", ""P09-07"", ""P09-12"", ""P09-13"", ""P09-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P09-05,110,Blood,"[6.2819, 34.4785]",False,"Four occupants stay silent behind surviving interior partitions, believing outside is more dangerous",E069,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""tavern-service-runners"", ""tavern-delivery"", ""tavern-inside""]","[""P09-01"", ""P09-02"", ""P09-03"", ""P09-06"", ""P09-07"", ""P09-12"", ""P09-13"", ""P09-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P09-06,110,Blood,"[6.2819, 34.4785]",False,"Four occupants stay silent behind surviving interior partitions, believing outside is more dangerous",E069,False,False,[],True,Repeated pressure through previously damaged shelter face,"[""tavern-service-runners"", ""tavern-delivery"", ""tavern-inside""]","[""P09-01"", ""P09-02"", ""P09-03"", ""P09-07"", ""P09-12"", ""P09-13"", ""P09-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P09-07,110,Blood,"[6.2819, 34.4785]",False,"Four occupants stay silent behind surviving interior partitions, believing outside is more dangerous",E069,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""tavern-service-runners"", ""tavern-delivery"", ""tavern-inside""]","[""P09-01"", ""P09-02"", ""P09-03"", ""P09-06"", ""P09-12"", ""P09-13"", ""P09-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P05-03,122,Bone,"[15.7445, -52.8023]",False,"Lower witnesses seek barn workers to warn them about the precise attacker, avoiding their original northward road",E087,True,True,[],False,"Local intended precise strike during Lower witnesses seek barn workers to warn them about the precise attacker, avoiding their original northward road","[""approach-witnesses""]","[""P05-04"", ""P05-05"", ""P05-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P15-01,130,Barrier,"[-73.9032, 82.418]",False,Try familiar working edge because the woods might still offer a way out; barrier behaviour untested,E100,False,False,[],False,Physical attempt to cross opaque reactive boundary,"[""foresters""]","[""P15-02"", ""P15-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P02-03,130,Barrier,"[-58.1229, -75.9726]",False,Try familiar working edge because the woods might still offer a way out; barrier behaviour untested,E102,False,False,[],False,Physical attempt to cross opaque reactive boundary,"[""west-field""]","[""P02-04""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P08-20,134,Blood,"[24.0, 57.0]",False,Surviving east-side goods buyers leave the impact junction by market lane,E108,False,False,[],False,Exposed corridor,"[""entrance-guard"", ""tavern-porch"", ""stall-thief"", ""centre-goods""]","[""P08-21"", ""P08-22"", ""P08-24"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P16-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044""]",,
P08-21,134,Blood,"[24.0, 57.0]",False,Surviving east-side goods buyers leave the impact junction by market lane,E108,False,False,[],False,Exposed corridor,"[""entrance-guard"", ""tavern-porch"", ""stall-thief"", ""centre-goods""]","[""P08-22"", ""P08-24"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P16-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044""]",,
P08-22,134,Blood,"[24.0, 57.0]",False,Surviving east-side goods buyers leave the impact junction by market lane,E108,False,False,[],False,Exposed corridor,"[""entrance-guard"", ""tavern-porch"", ""stall-thief"", ""centre-goods""]","[""P08-24"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P16-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044""]",,
P09-08,134,Blood,"[25.6458, 53.2965]",False,Porch escapees veer along market lane as Blood approaches their paused junction,E108,False,False,[],False,Exposed corridor,"[""tavern-porch"", ""stall-thief""]","[""P08-24"", ""P09-09"", ""P09-10"", ""P09-11""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044 tavern corner damage"", ""Blood visible approach""]",,
P09-09,134,Blood,"[25.6458, 53.2965]",False,Porch escapees veer along market lane as Blood approaches their paused junction,E108,False,False,[],False,Exposed corridor,"[""tavern-porch"", ""stall-thief""]","[""P08-24"", ""P09-10"", ""P09-11""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044 tavern corner damage"", ""Blood visible approach""]",,
P09-10,134,Blood,"[25.6458, 53.2965]",False,Porch escapees veer along market lane as Blood approaches their paused junction,E108,False,False,[],False,Exposed corridor,"[""tavern-porch"", ""stall-thief""]","[""P08-24"", ""P09-11""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044 tavern corner damage"", ""Blood visible approach""]",,
P09-11,134,Blood,"[25.6458, 53.2965]",False,Porch escapees veer along market lane as Blood approaches their paused junction,E108,False,False,[],False,Exposed corridor,"[""tavern-porch"", ""stall-thief""]","[""P08-24""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044 tavern corner damage"", ""Blood visible approach""]",,
P03-04,134,Bone,"[17.1198, -49.3102]",False,Yard household chooses nearby family home after the barn is punctured,E112,True,True,"[{""t"": 126, ""cause"": ""Bone barn puncture"", ""destination"": ""Farmstead_West""}]",False,Local intended precise strike during Yard household chooses nearby family home after the barn is punctured,"[""east-yard""]","[""P03-05"", ""P03-06"", ""P03-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E092"", ""Bone barn puncture""]",,
P09-12,160,Bone,"[12.673, 18.196]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E172,True,True,"[{""t"": 151, ""cause"": ""E156"", ""destination"": ""CollapsedCellarCottage""}, {""t"": 160, ""cause"": ""Bone lower guide injury"", ""destination"": ""CollapsedCellarCottage""}]",True,Local intended precise strike during Leave newly compromised shelter for a nearby known refuge after local disagreement,"[""tavern-service-runners-split5"", ""tavern-delivery"", ""old-Cottage_06-split5""]","[""P09-01"", ""P09-13"", ""P09-14"", ""P10-07""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E044 tavern corner damage"", ""E069 tavern breach"", ""Bone E156"", ""E156""]",,
P10-07,166,Bone,"[15.4536, 13.1781]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E175,True,True,"[{""t"": 151, ""cause"": ""E156"", ""destination"": ""CollapsedCellarCottage""}]",False,Local intended precise strike during Leave newly compromised shelter for a nearby known refuge after local disagreement,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E156""]",,
P08-11,168,Blood,"[-20.0, 65.0]",False,Caller disagrees with staying beside the visible probing stream and seeks western neighbours,E177,False,False,[],False,Exposed corridor,"[""centre-caller""]",[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_02""]",,
P11-01,168,Blood,"[-14.2607, 58.0484]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E177,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""west-CrushedHome""]","[""P11-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-CrushedHome""]",,
P11-09,168,Blood,"[-14.2607, 58.0484]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E177,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""west-Cottage_02""]","[""P11-10""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P11-15,168,Blood,"[-14.2607, 58.0484]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E177,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-CrushedHome""]",,
P11-16,168,Blood,"[-14.2607, 58.0484]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E177,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""west-yard-neighbours""]","[""P11-17"", ""P11-18""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-CrushedHome""]",,
P12-09,168,Blood,"[-4.819, 56.6783]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E177,False,False,[],False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_11""]",,
P11-02,176,Blood,"[-14.2607, 58.0484]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E203,False,False,[],False,Previously breached refuge,"[""west-yard-neighbours-split6"", ""west-Cottage_02"", ""firewood"", ""west-CrushedHome-split6""]","[""P11-01"", ""P11-09"", ""P11-10"", ""P11-15"", ""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CrushedHome""]",,
P11-09,176,Blood,"[-19.1677, 50.3323]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E203,False,False,[],False,Exposed corridor,"[""water-pair"", ""west-Cottage_02"", ""west-Cottage_10-split6"", ""west-CrushedHome-split6"", ""west-yard-neighbours-split6"", ""firewood""]","[""P08-01"", ""P08-02"", ""P11-01"", ""P11-10"", ""P11-13"", ""P11-15"", ""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E177""]",,
P11-10,176,Blood,"[-19.1677, 50.3323]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E203,False,False,[],False,Exposed corridor,"[""water-pair"", ""west-Cottage_02"", ""west-Cottage_10-split6"", ""west-CrushedHome-split6"", ""west-yard-neighbours-split6"", ""firewood""]","[""P08-01"", ""P08-02"", ""P11-01"", ""P11-13"", ""P11-15"", ""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E177""]",,
P11-15,176,Blood,"[-19.1677, 50.3323]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E203,False,False,[],False,Exposed corridor,"[""water-pair"", ""west-Cottage_10-split6"", ""west-CrushedHome-split6"", ""west-yard-neighbours-split6"", ""firewood""]","[""P08-01"", ""P08-02"", ""P11-01"", ""P11-13"", ""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""search-CrushedHome"", ""E177""]",,
P11-17,176,Blood,"[-14.2607, 58.0484]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E203,False,False,[],False,Previously breached refuge,"[""west-yard-neighbours"", ""west-yard-neighbours-split6"", ""west-CrushedHome-split6""]","[""P11-01"", ""P11-16"", ""P11-18""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CrushedHome""]",,
P11-18,176,Blood,"[-14.2607, 58.0484]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E203,False,False,[],False,Previously breached refuge,"[""west-yard-neighbours-split6"", ""west-CrushedHome-split6""]","[""P11-01"", ""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-CrushedHome""]",,
P11-01,176,Blood,"[-19.1677, 50.3323]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E203,False,False,[],False,Exposed corridor,"[""water-pair"", ""west-yard-neighbours-split6"", ""west-CrushedHome-split6"", ""west-Cottage_10-split6""]","[""P08-01"", ""P08-02"", ""P11-13"", ""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""search-CrushedHome"", ""E177""]",,
P11-13,176,Blood,"[-21.9315, 59.7904]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E203,False,False,[],False,Exposed corridor,"[""west-Cottage_10-split6"", ""west-yard-neighbours-split6""]","[""P11-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Cottage_10"", ""E177""]",,
P11-16,176,Blood,"[-19.1677, 50.3323]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E203,False,False,[],False,Exposed corridor,"[""water-pair"", ""west-yard-neighbours-split6""]","[""P08-01"", ""P08-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""search-CrushedHome"", ""E177""]",,
P10-21,180,Bone,"[38.6708, 57.6337]",False,Caregiver keeps the children together toward public help at church,E210,True,True,"[{""t"": 174, ""cause"": ""Bone family refuge denial"", ""destination"": [33, 73]}]",False,Local intended precise strike during Caregiver keeps the children together toward public help at church,"[""stall-thief"", ""east-passers"", ""children-yard""]","[""P08-18"", ""P08-19"", ""P08-24"", ""P10-17"", ""P10-18"", ""P10-19"", ""P10-20""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E199"", ""Bone family refuge denial""]",,
P12-14,196,Bone,"[25.0, 84.0]",False,Upper returner approaches to help hold the entrance for the children,E252,True,True,"[{""t"": 196, ""cause"": ""Bone church helper injury"", ""destination"": ""Church""}]",True,Local intended precise strike during Upper returner approaches to help hold the entrance for the children,"[""children-yard"", ""upper-Cottage_11"", ""upper-returner"", ""stall-thief"", ""entrance-guard""]","[""P08-24"", ""P10-17"", ""P10-18"", ""P10-19"", ""P10-20"", ""P12-10"", ""P16-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P12-14,206,Bone,"[18.9094, 86.9767]",False,Wounded helper tries to reach the church with guard assistance,E258,True,True,"[{""t"": 196, ""cause"": ""Bone church helper injury"", ""destination"": ""Church""}]",False,Local intended precise strike during Wounded helper tries to reach the church with guard assistance,"[""upper-returner"", ""stall-thief""]","[""P08-24""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""Bone church helper injury""]",,
P09-06,216,Blood,"[14.0, 24.0]",False,Injured last tavern occupant tries service exit after hearing renewed attacks and losing usable cover,E267,False,False,[],False,Exposed corridor,"[""tavern-inside""]",[],Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E069 tavern breach""]",,
P09-14,216,Blood,"[15.4536, 13.1781]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E267,True,True,"[{""t"": 151, ""cause"": ""E156"", ""destination"": ""CollapsedCellarCottage""}, {""t"": 160, ""cause"": ""Bone lower guide injury"", ""destination"": ""CollapsedCellarCottage""}]",True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E044 tavern corner damage"", ""E069 tavern breach"", ""Bone E156"", ""E156"", ""Bone lower guide injury""]",,
P10-04,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""old-Cottage_01""]","[""P10-05"", ""P10-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E108""]",,
P10-05,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""old-Cottage_01""]","[""P10-06""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E108""]",,
P10-06,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],True,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E108""]",,
P10-09,216,Blood,"[24.5156, 24.4654]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P10-13,216,Blood,"[15.4536, 13.1781]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E267,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""old-Cottage_12""]","[""P10-14""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E108"", ""search-Cottage_06""]",,
P10-15,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""yard-neighbours""]","[""P10-16""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-OldQuarterStore""]",,
P10-16,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-OldQuarterStore""]",,
P10-23,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""old-alley""]","[""P10-24""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P10-24,216,Blood,"[24.5156, 24.4654]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P09-03,216,Blood,"[24.5156, 24.4654]",False,Remaining occupants barricade and keep quiet; refusal to leave is ordinary fear,E267,False,False,[],False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044 tavern corner damage"", ""E069 tavern breach""]",,
P09-12,216,Blood,"[24.5156, 24.4654]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E267,True,True,"[{""t"": 151, ""cause"": ""E156"", ""destination"": ""CollapsedCellarCottage""}, {""t"": 160, ""cause"": ""Bone lower guide injury"", ""destination"": ""CollapsedCellarCottage""}]",False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.75,"[""E044 tavern corner damage"", ""E069 tavern breach"", ""Bone E156"", ""E156"", ""Bone lower guide injury"", ""search-CollapsedCellarCottage""]",,
P09-13,216,Blood,"[24.5156, 24.4654]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E267,True,True,"[{""t"": 151, ""cause"": ""E156"", ""destination"": ""CollapsedCellarCottage""}, {""t"": 160, ""cause"": ""Bone lower guide injury"", ""destination"": ""CollapsedCellarCottage""}]",False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""E044 tavern corner damage"", ""E069 tavern breach"", ""Bone E156"", ""E156"", ""Bone lower guide injury"", ""search-CollapsedCellarCottage""]",,
P10-08,216,Blood,"[15.4536, 13.1781]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E267,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""search-Cottage_06""]",,
P09-02,216,Blood,"[15.4536, 13.1781]",False,Leave newly compromised shelter for a nearby known refuge after local disagreement,E267,False,False,[],True,Sheltering behind first-damaged wall; nonfatal debris exposure,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""E044 tavern corner damage"", ""E069 tavern breach"", ""search-Cottage_06""]",,
P16-03,238,Bone,"[-5.0, 110.0]",False,"Service guard sees the entrance guard retreating under pressure and comes down to assist, without inheriting his historical guilt",E295,True,True,[],False,"Local intended precise strike during Service guard sees the entrance guard retreating under pressure and comes down to assist, without inheriting his historical guilt","[""stable-staff"", ""service-guard"", ""entrance-guard"", ""delivery-helper""]","[""P16-02"", ""P16-08"", ""P17-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P16-02,254,Bone,"[2.0, 124.0]",False,Guard reaches for the formal gate after his assisting colleague is killed,E318,True,True,"[{""t"": 188, ""cause"": ""Bone recognition threat"", ""destination"": [23.5, 84]}, {""t"": 206, ""cause"": ""Bone targeted rescue interruption"", ""destination"": [-3, 99]}, {""t"": 212, ""cause"": ""Bone upper route denial"", ""destination"": [-8, 99]}, {""t"": 222, ""cause"": ""Bone mobile recognition fixation"", ""destination"": [-3, 111]}, {""t"": 230, ""cause"": ""Bone stair threat"", ""destination"": [-3, 116]}, {""t"": 238, ""cause"": ""Bone colleague rescue interruption"", ""destination"": [2, 124]}]",False,Local intended precise strike during Guard reaches for the formal gate after his assisting colleague is killed,"[""entrance-guard"", ""delivery-helper"", ""delivery"", ""stable-staff""]","[""P16-08"", ""P17-01"", ""P17-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""Bone E246"", ""Bone recognition threat"", ""Bone targeted rescue interruption"", ""Bone E264"", ""Bone upper route denial"", ""Bone mobile recognition fixation"", ""Bone E291"", ""Bone stair threat"", ""Bone colleague rescue interruption"", ""Bone E315""]",,
P01-01,258,Blood,"[11.3, -55.2]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E325,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""east-tools""]","[""P01-02"", ""P01-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P01-02,258,Blood,"[11.3, -55.2]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E325,False,False,[],False,Repeated pressure through previously damaged shelter face,"[""east-tools""]","[""P01-03""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P01-03,258,Blood,"[11.3, -55.2]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E325,False,False,[],True,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P01-04,258,Blood,"[10.7137, -44.8152]",False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,E325,True,True,"[{""t"": 122, ""cause"": ""Bone farm cry"", ""destination"": ""Farmstead_West""}]",True,Sheltering behind first-damaged wall; nonfatal debris exposure,"[""strip-workers""]","[""P01-05""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,"[""Bone farm cry""]",,
P01-06,258,Blood,"[11.3, -55.2]",False,Turn toward familiar barn after seeing Blood approaching the farmyard,E325,False,False,[],False,Repeated pressure through previously damaged shelter face,[],[],Only listed witnesses receive the cause/death; others may later hear reports.,1,"[""search-Farmstead_West"", ""search-Farmstead_West""]",,
