person,origin,micro,group,xy,shelter,injured,intention,why_survived,knowledge,executed_movement_orders,bone_chain,canon_status
P06-04,P06,,needle-family,"[-9.6248, 26.7724]",Cottage_09,False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,"At Cottage_09, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E069"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}]}",[142],[],Failed V4 experimental outcome; not approved survivor lore.
P06-05,P06,,needle-family,"[-9.6248, 26.7724]",Cottage_09,False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,"At Cottage_09, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E069"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}]}",[142],[],Failed V4 experimental outcome; not approved survivor lore.
P06-08,P06,,c09-resident,"[-28.2463, 3.8778]",Cottage_04,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At Cottage_04, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}]}","[142, 312.0, 342.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-09,P06,,lower-yard-west,"[-41.2321, 38.284]",WeaverCottage,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At WeaverCottage, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""injury"", ""value"": ""P06-13"", ""source"": ""E040"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E044"", ""mode"": ""heard""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}]}","[90, 142, 318.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-10,P06,,lower-yard-west,"[-41.2321, 38.284]",WeaverCottage,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At WeaverCottage, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""injury"", ""value"": ""P06-13"", ""source"": ""E040"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E044"", ""mode"": ""heard""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}]}","[90, 142, 318.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-11,P06,,lower-yard-east,"[-9.6248, 26.7724]",Cottage_09,False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,"At Cottage_09, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""heard: public impact"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E069"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}]}","[90, 142]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-12,P06,,lower-yard-east,"[-9.6248, 26.7724]",Cottage_09,False,Stay silent and move behind intact inner cover after seeing the probe; outside danger is less understood,"At Cottage_09, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""heard: public impact"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E069"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}]}","[90, 142]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-14,P06,M05,parent-child,"[-28.2463, 3.8778]",Cottage_04,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At Cottage_04, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P06-13""], ""witch"": [], ""warnings"": [{""topic"": ""injury"", ""value"": ""P06-13"", ""source"": ""E040"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E044"", ""mode"": ""heard""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_09"", ""mode"": ""direct""}]}","[94, 102, 312.0, 342.0]","[""Bone E-M05-injury"", ""Bone M05 final attack""]",Failed V4 experimental outcome; not approved survivor lore.
P07-01,P07,M07,smith-pair,"[-48.0, -1.0]",,False,Surviving smith withdraws from exact local threat into lower western yards,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""heard: heavy impact and screams"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P07-02""], ""witch"": [], ""warnings"": [{""topic"": ""injury"", ""value"": ""P06-13"", ""source"": ""E040"", ""mode"": ""direct""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E069"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E177"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E203"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E267"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}]}","[94, 106, 108]","[""Bone forge route denial"", ""Bone E-forge-apprentice""]",Failed V4 experimental outcome; not approved survivor lore.
P07-04,P07,,smith-customer,"[-25.8, 21]",,False,Collecting repaired item,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""heard: heavy impact"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E044"", ""mode"": ""heard""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E069"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E108"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E177"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E203"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E267"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}]}",[],[],Failed V4 experimental outcome; not approved survivor lore.
P08-01,P08,M04,water-pair,"[-24.0, 31.0]",,False,Water carriers avoid the assistant's attack position and move toward lower western homes,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""direct: assistant killed"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P11-01"", ""P11-09"", ""P11-16"", ""P11-15"", ""P11-10"", ""P07-03""], ""witch"": [], ""warnings"": [{""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E044"", ""mode"": ""heard""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E069"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E108"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E177"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E203"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E267"", ""mode"": ""heard""}]}",[90],[],Failed V4 experimental outcome; not approved survivor lore.
P08-02,P08,M04,water-pair,"[-24.0, 31.0]",,False,Water carriers avoid the assistant's attack position and move toward lower western homes,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""direct: assistant killed"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P11-01"", ""P11-09"", ""P11-16"", ""P11-15"", ""P11-10"", ""P07-03""], ""witch"": [], ""warnings"": [{""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E044"", ""mode"": ""heard""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E069"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E108"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E177"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E203"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E267"", ""mode"": ""heard""}]}",[90],[],Failed V4 experimental outcome; not approved survivor lore.
P08-17,P08,,east-passers-split5,"[16.8797, 91.2934]",,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, still following an interrupted journey. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""heard: crash behind"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P14-06""], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E069"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_01"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_01"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E108"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_07"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_07"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-CrookedCottage"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-CrookedCottage"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-SplitRoofCottage"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-SplitRoofCottage"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_08"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_08"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E521"", ""mode"": ""direct""}]}","[90, 116, 142, 216, 290, 312.0, 360.0]","[""E521""]",Failed V4 experimental outcome; not approved survivor lore.
P08-24,P08,,stall-thief,"[16.8797, 91.2934]",,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, still following an interrupted journey. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P10-21"", ""P08-20"", ""P09-11"", ""P08-22"", ""P09-09"", ""P09-10"", ""P09-08"", ""P14-06"", ""P12-14"", ""P08-21""], ""witch"": [{""observation"": ""Saw blood flow around her; causal suspicion, not full explanation"", ""source"": ""E069"", ""mode"": ""direct""}, {""observation"": ""Saw blood flow around her; causal suspicion, not full explanation"", ""source"": ""E108"", ""mode"": ""direct""}], ""warnings"": [{""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_13"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_13"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E044"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_13"", ""mode"": ""direct""}, {""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E069"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E108"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E177"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E203"", ""mode"": ""heard""}, {""topic"": ""injury"", ""value"": ""P12-14"", ""source"": ""E252"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E267"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-SplitRoofCottage"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-SplitRoofCottage"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_08"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_08"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E521"", ""mode"": ""direct""}]}","[90, 98, 134, 222, 290, 312.0, 360.0]","[""E521""]",Failed V4 experimental outcome; not approved survivor lore.
